stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,4.1,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,2.42,0.81,0,0.81,1.61,0,0,11.28,0,0,0.81,7.25,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,17.21,0.57,0,0,3.44,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,4.91,0,0,0,0,0,0,32.39,0.98,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,4.91,2.94,0,0,1.96,0,0,0,98.17,1.96,0,1.96,5.89,1.96,0.98,0,0.98,0.98,0,0,0,0,0,0.98
 84-94,0,1.06,0,0,9.56,3.19,0,0,1.06,0,0,0,365.34,3.19,0,0,15.93,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,5.46,3.28,20.76,12.02,0,2.19,2.19,3.28,0,2.19,637.13,7.65,0,1.09,73.22,1.09,2.19,0,5.46,0,0,0,1.09,1.09,1.09,0
108-118,0,0,3.06,2.3,35.23,9.19,0,0,4.6,0.77,0.77,0,1257.71,3.06,0.77,1.53,60.51,0,0.77,0,3.06,0,0,0.77,0,0,0,1.53
120,0,0,0,1.96,7.84,0,0,0,0,1.96,0,0,521.3,5.88,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0
