stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,7.89,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,9,26,0,7,0,0,0,3,0,3,0,0,0,0,0,1,3,0,0,2,105,0,0,0,0,0,0,3,0,0,13,87,0,0,11,0,0
 24-34,0,0.82,0,4.1,0,0,9.85,0,0,0,4.93,0,4.93,0.82,3.28,0,3.28,0,0.82,9.03,0,0,4.93,134.62,0,7.39,0.82,0,0,1.64,0,1.64,0,0.82,54.18,0,0,35.3,0,0.82
 36-46,0,0,0,0.81,0,0,16.92,0,0,0.81,5.64,0.81,3.22,0,3.22,0,0.81,0.81,0,7.25,0,0.81,6.45,187.72,0,7.25,0.81,0,0,1.61,0,0,0.81,0,49.95,0,0,14.5,0,0
 48-58,0,0,0,1.72,0,0,51.64,0,0,0,21.8,0,6.31,1.15,0.57,0,1.15,0,0.57,25.82,0,1.15,2.3,195.67,0,2.3,0.57,0,0,2.3,0,0,0,0,41.31,0,0,14.92,0,1.72
 60-70,0,0,0,3.93,0.98,0,96.19,0.98,0,0.98,13.74,0,1.96,1.96,0.98,2.94,1.96,0,0.98,33.37,0,0,0,265.99,0.98,9.82,1.96,0,0,2.94,0,0,0,0,32.39,0.98,0,18.65,0.98,0.98
 72-82,0,0,0,3.93,2.94,0,83.44,0,1.96,3.93,24.54,0.98,11.78,8.83,0.98,1.96,6.87,0,0,50.06,0,0.98,3.93,214,0,7.85,4.91,0,0.98,4.91,0,0,0,0,15.71,0.98,0,33.38,0.98,0.98
 84-94,0,0,0,10.62,0,0,58.41,0,0,2.12,12.74,2.12,1.06,15.93,5.31,4.25,3.19,0,3.19,21.24,0,3.19,4.25,75.4,2.12,5.31,5.31,0,1.06,13.81,0,2.12,0,0,8.5,2.12,0,29.74,1.06,3.19
 96-106,0,0,0,8.74,2.19,1.09,49.18,0,1.09,1.09,10.93,1.09,5.46,10.93,1.09,2.19,9.84,0,0,27.32,1.09,2.19,1.09,89.61,0,7.65,1.09,0,0,17.49,0,0,0,0,5.46,8.74,0,38.25,0,3.28
108-118,0,0,0,16.85,1.53,0,42.13,0.77,1.53,0,18.38,0.77,4.6,8.43,6.13,4.6,3.06,1.53,0,19.92,0,1.53,3.06,105.7,0.77,6.13,0.77,0,0.77,10.72,0,0,0,0,7.66,11.49,2.3,22.98,0.77,3.83
120,0,1.96,0,19.6,1.96,0,41.16,0,1.96,0,27.44,7.84,1.96,17.64,3.92,1.96,7.84,0,1.96,15.68,0,5.88,3.92,99.95,1.96,13.72,5.88,0,0,15.68,0,1.96,0,0,3.92,3.92,0,11.76,1.96,0
