stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,2,0,0
 24-34,0,0.82,4.93,0.82,0,0,0.82,0,0,0,0,13.95,0,0,0,0,1.64,2.46,0.82,0,0,0,10.67,0,0,0,0.82,0,44.33,1.64,0,0,0.82,0,0
 36-46,0,1.61,0,0,0,0,1.61,0,0,0.81,0,4.03,0,0,0,0,0.81,3.22,0.81,0,0.81,0,6.45,0.81,0,0,1.61,0,29,1.61,0,0,0,0,0
 48-58,0,3.44,0,0.57,0,0,1.72,0,0,0,0,3.44,0.57,0,0,0,1.15,3.44,2.3,0,0,0,5.16,0,0,0,0,0,17.79,1.15,0,0,0,0,1.15
 60-70,0,3.93,0,3.93,0,0,0.98,0,0,1.96,0,8.83,0,0,0,0,0,4.91,0,0,0,0,2.94,0,0,0,0,0,22.58,0.98,0,0.98,0,0,2.94
 72-82,0,23.56,0,0.98,0,0,2.94,0,0.98,0,0.98,53.99,0,0,0,0,0,0,3.93,0.98,0,0.98,15.71,0,0,0,0,0,26.5,0.98,0,0.98,0,0.98,0.98
 84-94,0,19.12,1.06,1.06,0,0,6.37,0,0,0,2.12,113.64,0,0,0,0,4.25,4.25,2.12,0,0,0,5.31,0,0,0,0,0,54.16,0,0,0,0,0,0
 96-106,0,21.86,1.09,2.19,0,0,5.46,0,0,0,0,127.86,0,0,1.09,0,1.09,3.28,4.37,0,0,1.09,22.95,2.19,0,0,3.28,1.09,52.46,1.09,1.09,0,2.19,0,3.28
108-118,0,14.55,0,0,0,0.77,2.3,0.77,0.77,0,2.3,168.51,2.3,0.77,0,0,1.53,3.83,5.36,0.77,0.77,1.53,18.38,0,0,0.77,3.06,0,47.49,0.77,0,0,0,0,2.3
120,0,9.8,0,0,1.96,0,3.92,0,3.92,0,1.96,172.46,1.96,0,0,1.96,11.76,3.92,1.96,0,0,0,15.68,0,0,0,3.92,1.96,39.2,0,0,0,0,0,0
