stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,2.42,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,53,0,0,0,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0.98,0.98,0,122.71,0,0,2.94,0.98,0,0,0.98,0,6.87,0,0,7.85,0,0,0.98,0,0,0.98,0,0,0.98
 84-94,4.25,0,0,157.18,0,0,1.06,0,0,0,0,0,3.19,0,0,15.93,0,0,1.06,1.06,0,1.06,1.06,1.06,0
 96-106,10.93,2.19,0,163.93,1.09,0,3.28,0,1.09,0,0,1.09,2.19,2.19,1.09,9.84,0,0,1.09,0,1.09,0,0,0,1.09
108-118,0.77,1.53,0.77,140.94,0,0,2.3,0,0,0.77,0,1.53,1.53,0,1.53,14.55,0.77,0.77,0,0,0,0,0,0,0.77
120,5.88,1.96,0,197.94,0,1.96,0,0,0,0,1.96,0,3.92,0,1.96,15.68,0,0,1.96,1.96,0,0,0,0,0
