stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,65.89,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,55.17,833.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,12.26,0,0,12.26,12.26,0,0,0,0,0,0,0,0,0
  7-9,23.66,13.14,0,23.66,0,0,89.38,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,646.66,21.03,0,0,215.55,2.63,7.89,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,50.35,0,0,97.56,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,494.07,0,0,0,169.94,3.15,0,0,9.44,0,0,3.15,0,0,0
 14-21,0,0,0,1,8,5,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,7,78,2,1,1,2,8,0,14,0,0,5,28,0,0,0
 24-34,0,0,0,0,0,0,11.49,0,0,0.82,0.82,0,0,0,0.82,0,2.46,0,4.93,0,0,4.93,149.4,0.82,0.82,3.28,0,40.22,0,0,0,0.82,0.82,23.8,0,0,0
 36-46,0,0,0,0,0,0,50.76,0.81,0,7.25,0,0,0,0,0,0.81,0,0,12.09,1.61,0,4.03,294.87,0,0.81,0.81,0,29.81,0,0,0,0,0,52.37,0.81,0.81,0
 48-58,0,0,0,0,0.57,0,60.25,0.57,0,6.89,0,0,0,0,0,0.57,0.57,0,10.9,0,0.57,1.15,169.85,0,0.57,1.15,0,10.33,0,0,0,0,0,28.12,0.57,0.57,0
 60-70,0,0,0.98,0,0.98,0,110.91,0,0.98,13.74,0,0,0.98,0.98,1.96,0,0.98,0.98,15.7,0,0,1.96,243.42,0,0,0,0,42.21,0,0,0,0,0,32.39,0,0,0
 72-82,0,0,1.96,0,2.94,0,44.17,0,0,2.94,0,0,0,1.96,0.98,0,0,0,12.76,0,0.98,0,87.37,0,0.98,1.96,0,33.38,0,0,0,0,0,7.85,0,0,0.98
 84-94,0,0,0,0,1.06,0,43.54,0,0,6.37,0,0,0,0,0,2.12,0,0,6.37,0,2.12,2.12,55.23,0,0,2.12,0,42.48,0,0,0,0,0,6.37,0,2.12,0
 96-106,0,0,0,0,4.37,0,18.58,2.19,0,5.46,0,0,0,0,1.09,0,0,0,6.56,0,0,2.19,37.16,0,2.19,2.19,0,15.3,0,0,0,0,0,1.09,1.09,1.09,1.09
108-118,0,0,0,0,3.83,0,14.55,0.77,0,6.89,0,0,0,1.53,0.77,0,0,0,5.36,0,0,0.77,61.28,0,0.77,0.77,0,18.38,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,7.84,1.96,11.76,5.88,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,3.92,29.4,0,0,0,0,62.71,0,0,0,0,0,0,0,1.96,0
