stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,7.89,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,110.41,10.51,0,0,60.46,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,3.15,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.76,0,0,0,40.91,0,0,3.15,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,1,12,3,4,0,0,5,2,0,0,0,1,0,0,0,0,5,0,0,5,71,1,1,3,5,3,0,14,1,0,12,24,0,0,0,0
 24-34,0,0,0.82,1.64,0,13.13,0,0,1.64,0,0,0,0,0,0,0,0,0,10.67,0,0,4.93,96.86,0,1.64,2.46,0,0.82,0,0,0,0,0.82,18.88,0,4.1,0,0
 36-46,0,0,0,2.42,0,13.7,0.81,1.61,0.81,0,0,0,0,0,0,0,0,0,12.09,0,0,2.42,74.93,0,0.81,0.81,0,2.42,0,0,0,0.81,0,25.78,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,32.71,0,0,4.02,0,0,1.15,0,0,0,0,0,0,13.2,0,0,3.44,53.36,0.57,0,0,0,2.3,0,0,0,0,0,9.18,0.57,2.87,0,0.57
 60-70,0,0,0,2.94,0.98,17.67,0.98,1.96,0.98,0.98,0,0,0,0,0,0.98,0,0,15.7,0,0,3.93,48.09,0,0,0.98,0,2.94,0,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,0,2.94,0.98,24.54,0,0.98,8.83,0,0,0,1.96,0,0,1.96,0,0,31.41,0,0.98,1.96,42.21,0,0.98,0.98,0,0,0,0,0,0,0,10.8,0,0,0,0
 84-94,0,0,0,6.37,0,18.05,1.06,2.12,11.68,0,0,1.06,3.19,1.06,0,0,0,0,21.24,1.06,0,3.19,39.3,0,1.06,1.06,0,5.31,0,0,0,1.06,0,4.25,1.06,2.12,1.06,0
 96-106,0,0,0,3.28,0,17.49,1.09,1.09,3.28,0,0,1.09,2.19,1.09,0,2.19,0,0,14.21,0,0,1.09,36.06,0,0,1.09,0,5.46,0,0,0,0,0,3.28,2.19,2.19,0,0
108-118,0,0,0,3.06,0,12.26,3.06,0.77,3.06,3.83,0,0,1.53,0.77,1.53,0,1.53,0.77,13.02,0,0.77,1.53,45.96,0,0,0,0,3.83,0,0,0,0,0,0.77,0,4.6,0,1.53
120,0,0,0,5.88,0,29.4,1.96,3.92,1.96,0,0,0,3.92,0,1.96,0,0,0,19.6,0,0,1.96,29.4,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
