stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,iridophores,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2
 24-34,0,0,14.78,0.82,0,0,0,0,0.82,0,1.64,2.46,0,0,0,0
 36-46,0,0,7.25,0,6.45,0,0.81,0,0,0,0,8.06,0,0,0,0.81
 48-58,0,0,0.57,0,4.59,0,0.57,0.57,0,0.57,0.57,15.49,0,1.15,0,0.57
 60-70,0,0,0.98,0,11.78,0,0.98,0,0,0,0.98,12.76,0,0,0,0
 72-82,0,0,0,0,16.69,0,2.94,0,0,1.96,0.98,36.32,0,0,0,0
 84-94,0,0,1.06,0,2.12,0,1.06,0,0,1.06,1.06,44.61,0,0,0,0
 96-106,0,1.09,1.09,0,10.93,0,1.09,0,0,3.28,1.09,73.22,0,0,0,0
108-118,0,0,1.53,0,3.06,0,1.53,0,0,0,2.3,49.79,0,0,1.53,0.77
120,0,0,1.96,0,3.92,1.96,0,1.96,0,1.96,0,33.32,0,0,0,0
