stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,7.25,0,0,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,5.74,0,0,0,0,0,0.57,1.72,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0.98,0.98,0,0,0,0.98,10.8,0.98,0,0,0.98,0,0,2.94,0,0
 72-82,0,0.98,0,0.98,1.96,0,0.98,0,0,0,0,2.94,0,0,14.72,0,0,0,0,0,0,5.89,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,6.37,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,1.09,2.19,1.09,0,0,0,0,0,1.09,0,0,8.74,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,1.53,0,0,0.77,0,0,0,0.77,0,0,9.96,0,0,0.77,0,0,0,0.77,0.77,0
120,0,0,0,1.96,3.92,3.92,0,3.92,0,0,0,1.96,1.96,0,17.64,0,0,0,0,0,0,0,0,0
