stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,6.29,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.82,9.44,0,0,28.32,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,30,10,0,10,0,0,0,2,1,0,0,0,0,0,0,0,28,0,0,13,210,1,0,1,0,0,0,0,8,0,9,78,0,0,7,0,0
 24-34,0.82,0,0,1.64,41.04,2.46,0,22.98,0,1.64,0.82,13.13,1.64,7.39,0,0,0,1.64,4.1,1.64,193.72,0,0.82,108.35,609.08,1.64,0,5.75,0,0,0.82,0,0,0,0.82,204.39,0,0,30.37,0,0.82
 36-46,0,0,0,0,8.06,0,0,13.7,0,0.81,1.61,30.62,0,8.06,0,0,0,0.81,1.61,0.81,245.73,0,8.06,71.7,328.71,0.81,0,5.64,0,0.81,1.61,0,0.81,0,0.81,132.94,0,1.61,13.7,0,0
 48-58,0.57,0,0,0,4.59,0,0,6.31,0,0,1.72,17.21,0,2.87,0,0,0.57,0.57,0,1.15,186.49,0,4.59,33.85,51.64,0,0,1.15,0,1.15,0,0,0,0.57,0,33.28,0,1.15,10.33,0,0
 60-70,0,0,0,0,10.8,0.98,0,7.85,0,2.94,4.91,37.3,0.98,2.94,0.98,0,0.98,0.98,0.98,0,382.79,0,11.78,33.37,57.91,0,0.98,1.96,0,2.94,0,0,0,0,0,16.69,0.98,5.89,19.63,2.94,0.98
 72-82,0,0,0,0,13.74,0,0,41.23,0.98,0.98,24.54,71.66,0,5.89,1.96,0,0,0,0.98,0,711.7,0.98,26.5,72.64,69.7,0,0,14.72,0,8.83,2.94,0,0,0,0,3.93,0.98,18.65,40.25,20.61,0
 84-94,0,0,0,0,19.12,0,0,39.3,0,2.12,12.74,22.3,0,9.56,0,0,1.06,1.06,0,0,321.8,0,22.3,36.11,33.99,0,0,8.5,0,5.31,0,0,0,1.06,0,2.12,0,10.62,25.49,6.37,0
 96-106,0,0,0,0,13.11,0,0,17.49,0,1.09,6.56,34.97,2.19,6.56,2.19,0,2.19,2.19,1.09,0,291.79,0,13.11,40.44,59.01,0,0,13.11,0,7.65,2.19,0,0,0,0,0,0,9.84,25.14,4.37,1.09
108-118,0,0,0,0,16.85,3.06,0.77,18.38,0.77,3.83,10.72,25.28,0,7.66,0,0,0.77,0,0.77,0,343.92,0.77,10.72,30.64,52.09,1.53,0,13.79,0,6.89,0.77,0,0,0,0,2.3,0.77,4.6,32.17,9.19,0
120,0,0,1.96,0,11.76,0,0,17.64,1.96,7.84,3.92,25.48,0,5.88,0,1.96,0,0,0,0,254.77,0,11.76,19.6,50.95,1.96,0,11.76,0,7.84,1.96,0,0,0,0,0,0,5.88,33.32,15.68,0
