stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2385.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,208.41,2341.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,18.39,0,73.56,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,18.4,0,28.92,0,0,0,28.92,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,365.39,18.4,0,0,199.78,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,25.18,0,6.29,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,210.85,44.06,0,0,119.58,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,71,7,0,7,0,0,0,2,1,0,2,0,0,0,1,1,1,25,0,0,21,92,9,0,2,3,0,0,1,19,2,18,52,0,0,1,0,2
 24-34,0,0,0,0,6.57,0,0,6.57,0,0.82,0.82,2.46,0,0,0,5.75,0.82,0,0,0,0.82,31.19,0,0.82,16.42,112.46,1.64,2.46,0,0,0.82,0,1.64,0,0,4.1,41.04,0,0,5.75,0,7.39
 36-46,0,0,0,0,5.64,0,0,41.09,0,0.81,0.81,8.86,0.81,0,4.83,19.34,0,0,0,0,0.81,80.57,0,1.61,18.53,356.91,2.42,2.42,0.81,0.81,0,3.22,3.22,0,0,0,84.6,0,0.81,5.64,0,15.31
 48-58,0,0,0,0,1.15,1.15,0,71.15,0,1.15,4.02,8.03,0,0,1.72,21.8,0,0.57,0,0,2.3,76.89,1.15,3.44,12.05,364.94,1.72,0.57,0.57,0,0,2.87,0,0,0.57,0,51.64,0,0,8.61,0,26.97
 60-70,0,0,0,0,2.94,1.96,0,189.43,0.98,0.98,4.91,33.37,0.98,0,0.98,34.35,0.98,1.96,0,1.96,1.96,157.04,0.98,7.85,13.74,762.64,1.96,1.96,0.98,0,0.98,0.98,0.98,0,0,0,70.67,0,3.93,14.72,2.94,40.24
 72-82,0,0,2.94,0,6.87,13.74,0,129.58,0,0.98,3.93,73.62,0.98,0,4.91,77.55,0,3.93,0.98,0.98,3.93,203.2,0.98,6.87,10.8,560.53,0,6.87,2.94,0,0,1.96,0.98,0,2.94,0,48.1,0,3.93,37.3,2.94,28.47
 84-94,0,0,1.06,0,10.62,19.12,0,98.77,0,1.06,4.25,38.23,0,0,2.12,70.09,0,5.31,0,2.12,7.43,130.63,0,10.62,11.68,322.86,1.06,3.19,2.12,0,1.06,3.19,0,0,0,0,26.55,0,5.31,25.49,3.19,33.99
 96-106,0,0,0,0,10.93,30.6,0,96.17,1.09,5.46,3.28,88.52,2.19,0,10.93,111.47,0,5.46,0,2.19,8.74,196.71,1.09,14.21,15.3,310.37,2.19,7.65,4.37,0,10.93,15.3,0,0,0,0,14.21,0,5.46,56.83,6.56,29.51
108-118,0,0,0.77,0.77,23.74,21.45,0.77,60.51,0,5.36,3.83,78.89,0.77,0,3.83,80.43,1.53,12.26,0,0.77,9.19,181.53,0,13.02,15.32,385.28,2.3,7.66,1.53,0,5.36,10.72,1.53,0,0,0,25.28,2.3,3.06,54.38,6.89,45.96
120,0,0,0,0,25.48,25.48,1.96,45.08,0,3.92,0,62.71,0,0,1.96,92.11,1.96,7.84,0,1.96,3.92,146.98,1.96,7.84,9.8,331.2,1.96,7.84,0,0,1.96,21.56,0,0,0,0,13.72,0,3.92,56.83,3.92,23.52
