stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,7.89,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,5.26,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,12,0,0,0,1,0,2,3,1,3,6,0,0
 24-34,0,0,0.82,0,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,4.1,36.94,0,0.82,1.64,0,0,0.82,0,0,0.82,13.95,0,0.82
 36-46,0,0,0,0,0,0,5.64,0,0.81,0,4.83,0,0,0,0,0,0,0,0,4.83,0,0,2.42,45.92,0,1.61,0.81,0,0,0.81,0,0,0,7.25,0,1.61
 48-58,0,0,0,1.72,0.57,0,8.03,0,0,0.57,2.3,0.57,0,0,0,0,0,0,0,6.31,0,0,1.15,30.41,0,0.57,0.57,0,0,0.57,0,0,0,1.72,0,0.57
 60-70,0,0,0,0.98,0,0,12.76,0,0.98,0.98,2.94,0,0,0,0,0,0,0,0.98,8.83,0,0,0,38.28,0,0,0,0,0,3.93,0,0,0,5.89,0,0.98
 72-82,0,0,0,1.96,0,0,11.78,0,0,0.98,10.8,0,0,0.98,0,0,0,0.98,0,10.8,0,0.98,3.93,31.41,0,0,0,0,0,1.96,0,0,0,3.93,0,0
 84-94,0,0,0,0,1.06,0,8.5,0,0,1.06,3.19,0,0,2.12,0,0,0,0,0,4.25,0,0,0,10.62,0,0,0,0,0,5.31,0,0,0,2.12,1.06,1.06
 96-106,0,0,0,1.09,0,0,6.56,0,0,1.09,2.19,0,0,4.37,1.09,0,0,0,0,4.37,0,2.19,0,10.93,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,2.3,0.77,0.77,6.89,0,0,0,3.83,0.77,0,2.3,0,0.77,0.77,0,0,5.36,0,0,1.53,15.32,0,0,0.77,0,0,3.06,0,0,0,1.53,0,0.77
120,0,0,0,1.96,5.88,0,7.84,1.96,0,0,1.96,0,0,3.92,0,0,0,0,0,9.8,1.96,0,0,23.52,0,0,1.96,0,0,15.68,0,0,0,0,0,3.92
