stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,13,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,1.64,0,0,0,0,0,0,129.7,0,0.82,0,0,0,0,0,49.25,0,0,0,0,0
 36-46,0,0,0,0,0,0,9.67,0,0,0,11.28,0,0,0,0.81,0,0,328.71,0,1.61,0,0,0.81,0.81,0,93.46,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,53.36,0,0,0,17.21,0,0,0,1.72,0.57,0,480.27,0.57,1.15,0,0,0.57,0,0,81.48,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,135.45,0,0.98,0,29.45,0,0.98,0,4.91,0,0.98,763.62,0,0,0,0,0.98,0,0,94.23,0,0,0,0,0.98
 72-82,0,0.98,0,3.93,0.98,0.98,122.71,0,0,0,28.47,0,0,0,6.87,0,0.98,535.01,0,0.98,1.96,0,0,0,0,44.17,0.98,1.96,0,0.98,0.98
 84-94,0,1.06,0,2.12,0,0,74.34,0,0,1.06,14.87,0,0,0,5.31,0,0,238.96,0,0,0,0,2.12,0,1.06,25.49,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,0,41.53,0,1.09,0,8.74,1.09,0,0,2.19,0,0,156.28,0,0,0,0,1.09,0,0,4.37,0,1.09,0,0,0
108-118,0,0,0,4.6,0,0,21.45,0.77,0,0,9.19,0,0,0,4.6,0,0,192.26,0,0,0,0,0,0,0,7.66,0,0,0.77,1.53,0
120,0,0,0,1.96,0,0,23.52,0,0,0,9.8,0,1.96,0,1.96,0,0,199.9,0,0,0,0,0,0,0,11.76,0,0,1.96,1.96,0
