stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,6,6,3,0,0,1,0,4,0,1,0
 24-34,0,0,0.82,0,0,2.46,0,0,2.46,0,0,0,0,0,8.21,0,0.82,24.63,9.03,9.85,0,0,0,0,9.03,0,0,0
 36-46,0,0,0,0,0,5.64,0,0,15.31,0,0,0,0,0,6.45,0,0,23.36,4.03,4.83,0,0.81,0,0,16.92,0,0,0
 48-58,0,0,0,0,0,2.87,0.57,0,41.89,0,0,0,0.57,0,29.84,0,0,10.9,2.3,3.44,0,0,0,0,10.33,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,18.65,0,0,0,0,0,40.24,0,0,4.91,2.94,5.89,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,1.96,0,0,35.34,0,0,0,0,0,55.95,0,0,6.87,0,3.93,0,0,0,0.98,0,0.98,0.98,0.98
 84-94,0,0,0,0,1.06,2.12,0,0,20.18,0,0,2.12,0,0,32.92,1.06,1.06,2.12,3.19,14.87,0,0,0,1.06,0,0,0,1.06
 96-106,1.09,0,0,0,0,1.09,0,0,31.69,1.09,1.09,0,0,0,24.04,0,1.09,4.37,2.19,12.02,0,0,0,0,1.09,1.09,0,2.19
108-118,0,0,0,0.77,0,2.3,0,0.77,26.81,0,0,0.77,0,0.77,16.09,0,0.77,4.6,3.83,9.96,0,0,0,0,0.77,0,0,3.83
120,0,0,0,0,0,0,0,0,17.64,1.96,0,0,0,0,27.44,0,1.96,0,0,13.72,0,0,0,1.96,0,0,0,1.96
