stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,184.49,3900.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0
  5-6,122.59,1520.15,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,157.72,2.63,0,0,44.69,0,0,10.51,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,1,51,0,2,0,0,1,37,1,0,6,20,1,0,0,0,0,0,0,1,0,9,0,60
 24-34,0,0,0,0.82,0,89.47,0,0.82,0,0,7.39,65.67,13.95,0,19.7,32.83,0,0,0,0,0.82,2.46,0,0,0.82,5.75,0.82,194.54
 36-46,0,0,0,0,0,28.2,0,1.61,0,0,1.61,4.83,12.89,0,6.45,14.5,0,0,1.61,0,0,0,0,0,0.81,4.83,0,182.08
 48-58,0,0,0,0,0,23.53,0,0.57,0,0.57,1.15,0,6.31,0,6.31,9.75,0,0,0,0,0,0.57,0,0,0,1.15,0,199.68
 60-70,0,0,0,0,0.98,18.65,0,0,0,0,0.98,0,3.93,0,0,9.82,0,0,0,0,0,0,0,0,0,0.98,0,164.9
 72-82,0,0,0,0,0.98,12.76,0,0.98,0,0,1.96,0,0.98,0,0.98,4.91,0,0,0,0,0,0.98,0,0,0,0,0,128.6
 84-94,0,0,0,0,0,27.61,0,1.06,0,0,3.19,0,1.06,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0,103.02
 96-106,0,0,0,0,1.09,12.02,1.09,2.19,0,2.19,0,1.09,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,1.09,113.66
108-118,0,0,0,0,1.53,3.06,0,0.77,0.77,0,0,0,0.77,0,0.77,4.6,0,0.77,0,0,0,1.53,0,0,0,1.53,0,130.21
120,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.67
