stage,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,1,0,0,1,0,0,0,0,0,0,15,0,0,1,0,2,2,8,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,3.28,0,0,17.24,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,4.83,0,0,0.81,0,0.81,0.81,0,0,0,12.89,0.81,0,0,0,0,0,4.83,0,0,0,0
 48-58,1.15,0,6.31,0,0.57,2.87,0,0,0,4.02,0,0.57,9.75,0,0,0,0.57,0,0,2.3,0,0,0,0
 60-70,0,0,3.93,0,0,1.96,0.98,0.98,0,3.93,0,0,11.78,0,0.98,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,4.91,0,0,0,0,0,0,7.85,0,0.98,8.83,0,0,0,0,0,0,0.98,0.98,0,2.94,0
 84-94,0,0,2.12,1.06,0,0,2.12,0,1.06,1.06,0,0,3.19,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,1.09,1.09,1.09,0,0,2.19,0,0,0,5.46,0,0,3.28,0,0,0,0,0,0,1.09,0,0,0,1.09
108-118,2.3,0,0,0,0,1.53,0.77,0,1.53,3.06,0.77,0,5.36,0.77,0.77,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96
