stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,1,1,5,0,0,0,0,0
 24-34,0,1.64,7.39,0.82,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,88.65,0,3.28,0,0,0,0,0,0,0,41.86,0,0,0,0,0
 36-46,0,0.81,2.42,0,0,3.22,0,0,0,4.03,0,0,0,0,0,0,0,0,2.42,0,0,0,235.26,0,1.61,0,0,0,0.81,0,0.81,0,65.26,0,0,0,0,0
 48-58,0,0.57,5.74,0,0,32.13,0,0,0.57,10.9,0,0,0,0,0,0,0,0.57,1.72,0.57,0,1.15,352.89,0,1.72,1.15,0,0,0,0,0,0,67.71,0,0,1.15,0,0.57
 60-70,0,1.96,4.91,0,0,157.04,0.98,0.98,0,26.5,0,0,0,0,0,0.98,0,0.98,5.89,0,0,0,781.29,0,0,1.96,0,0,2.94,0,0,0,139.38,0,0,0,0,0
 72-82,0,0.98,11.78,0.98,0,327.88,0,0,0.98,67.73,1.96,0,0,0,0,0,0,0,18.65,0,0,1.96,1217.26,0.98,0,3.93,0,0.98,0.98,0,0,0,127.62,0,1.96,4.91,0,0.98
 84-94,0,0,10.62,3.19,0,240.02,0,3.19,3.19,47.79,0,0,0,1.06,0,1.06,0,0,18.05,1.06,0,2.12,646.78,1.06,0,5.31,0,0,2.12,0,0,0,82.84,0,1.06,2.12,0,0
 96-106,0,1.09,13.11,5.46,0,230.59,1.09,0,1.09,50.27,0,1.09,1.09,0,0,1.09,1.09,1.09,16.39,0,1.09,2.19,685.21,0,0,4.37,0,0,6.56,0,0,0,41.53,3.28,0,1.09,1.09,0
108-118,0,0,14.55,1.53,0.77,212.17,1.53,0.77,0.77,42.13,0,0,0,0.77,2.3,1.53,1.53,1.53,11.49,0,0,0.77,717.71,0.77,0,2.3,0,0,0.77,0,0,0,19.15,0.77,0,1.53,0.77,0.77
120,0,1.96,13.72,0,0,195.98,1.96,0,0,39.2,0,0,0,0,0,0,1.96,3.92,15.68,0,0,1.96,985.77,0,1.96,1.96,0,1.96,7.84,0,0,0,39.2,0,0,3.92,0,3.92
