stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,54,2,5,0,0,0,1,1,0,0,4,0,0,0,0,0,7,0,0,3,110,2,3,1,0,0,0,2,0,0,3,71,0,0,0,0,0
 24-34,0,0.82,0,12.31,0,11.49,0,2.46,0,4.1,0,0,0,12.31,3.28,0,0,0,0,4.1,0,0,3.28,448.19,0.82,21.34,0.82,0,0,0.82,0,0,0.82,0.82,108.35,0,0,0.82,0,0.82
 36-46,0,0,0,1.61,0,95.87,0,0,0,20.14,0,0,0,10.47,1.61,0,0,0,1.61,4.03,0,0,2.42,1238.31,0,21.75,0,0,0,0.81,0,0,0,0,211.09,0,0,0.81,0,1.61
 48-58,0,0.57,0,2.3,0.57,311.58,0,0.57,0,39.02,0,0.57,0.57,13.2,0,0.57,0.57,0,2.87,9.75,0.57,0,2.87,1441.4,0,9.75,0.57,0,0,1.15,0,0,0,0,217.47,0,0,1.15,0,2.3
 60-70,0,0.98,0,2.94,0,676.27,0,1.96,0.98,47.11,0.98,0,0,16.69,0,0,0,0,1.96,7.85,0.98,0,1.96,1771.65,0.98,12.76,0,0,0.98,2.94,0,0,0,0,195.32,0,0.98,1.96,0,0.98
 72-82,0,4.91,0,12.76,2.94,621.39,0,0.98,0,40.25,1.96,0.98,0,32.39,1.96,1.96,0.98,0.98,0,25.52,0.98,0.98,0.98,1129.89,0,16.69,2.94,0,0,2.94,0,0,0,0,94.24,0,2.94,1.96,0.98,2.94
 84-94,0,2.12,0,6.37,0,364.28,0,1.06,1.06,37.17,1.06,0,1.06,52.04,2.12,1.06,3.19,2.12,1.06,13.81,2.12,3.19,1.06,545.89,0,6.37,4.25,0,1.06,2.12,0,1.06,0,0,46.73,0,0,5.31,1.06,1.06
 96-106,0,4.37,0,14.21,1.09,278.68,0,2.19,1.09,26.23,4.37,0,0,54.64,1.09,2.19,2.19,1.09,0,17.49,2.19,1.09,0,394.52,0,10.93,6.56,0,0,3.28,0,0,1.09,0,10.93,1.09,0,6.56,0,0
108-118,0,0.77,0,11.49,0.77,182.3,0.77,2.3,0,27.57,2.3,0,0,44.43,1.53,0.77,2.3,1.53,0,13.79,0.77,0,0.77,501.71,1.53,14.55,0,0,0.77,1.53,0,0,0,0,11.49,1.53,1.53,0.77,0.77,0
120,0,1.96,0,19.6,0,139.14,0,1.96,0,19.6,1.96,0,0,72.51,0,0,0,1.96,0,11.76,1.96,0,0,411.55,3.92,9.8,3.92,0,0,1.96,0,0,0,0,15.68,0,0,3.92,0,0
