stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
 24-34,0,0,0.82,0,0,0,0,2.46,0.82,0,0,0,0,0.82,0.82,27.91,0.82,0,0,9.03,0,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,0,0,0,0,0,102.32,2.42,0,2.42,16.92,0,0,0
 48-58,0,0,0,0,8.61,0,0.57,1.15,0,0,0,0,0,0,0,141.16,1.15,0,0.57,22.95,0,0,0
 60-70,0,1.96,0,0,19.63,0,0,4.91,0,0,0,0.98,0,0,0,191.4,1.96,0,0,22.58,0,0,0
 72-82,0.98,0.98,0,0,43.19,0,0,3.93,0.98,0.98,0,0,0,2.94,0,253.27,4.91,0,1.96,23.56,0,0,0
 84-94,0,0,0,0,24.43,0,0,0,0,0,2.12,0,0,3.19,0,91.34,4.25,0,5.31,14.87,1.06,0,2.12
 96-106,0,1.09,0,0,19.67,0,0,3.28,0,0,0,0,0,3.28,0,93.98,3.28,0,2.19,6.56,0,0,1.09
108-118,0,2.3,0,0.77,14.55,0,0,3.83,0,0,0.77,0.77,0,2.3,0.77,85.79,1.53,0,2.3,4.6,0.77,0.77,0
120,0,0,0,0,5.88,1.96,1.96,1.96,0,0,0,0,1.96,1.96,0,74.47,0,0,0,3.92,0,0,0
