stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,24,6,4,3,0,0,2,1,0,1,0,0,0,0,0,4,0,0,49,12,1,0,0,2,0,1,124,1,40,978,8,0,0,0
 24-34,0,0.82,1.64,1.64,0,0,0,0,0,1.64,0,0.82,0,0.82,0,0,0,13.13,0,0,32.83,14.78,0.82,0.82,0,0,0,1.64,0.82,0,1.64,92.76,3.28,0,0,0.82
 36-46,0,0,0,2.42,0,1.61,0,0,0,0,0,8.86,0,0,0,0,0,8.86,0,0,8.06,6.45,0,0,0,0,0,0.81,0,0,0,1.61,1.61,0,0.81,0
 48-58,0,0,0,0,2.3,1.72,0,0.57,1.15,0,0,5.16,0,0,0,0,0,13.2,0,0.57,12.05,6.89,0,0,0,0,0.57,1.72,0,0,0,0,1.15,0,0.57,0.57
 60-70,0,0,0,0.98,4.91,1.96,0,0,0.98,0,0,3.93,0.98,0,0.98,0,0.98,7.85,0,0,2.94,4.91,0,0.98,0,0,0,1.96,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0.98,13.74,6.87,0,0.98,3.93,0,0,6.87,0,0,0,0,0,10.8,0,0,4.91,14.72,0,0,0,0,0.98,0,0,0.98,0,0,1.96,0,0,0.98
 84-94,0,0,0,3.19,12.74,7.43,0,0,5.31,2.12,1.06,6.37,1.06,0,0,1.06,0,15.93,0,1.06,12.74,9.56,0,0,0,0,0,1.06,0,0,0,0,0,1.06,1.06,1.06
 96-106,0,1.09,0,1.09,14.21,8.74,2.19,0,4.37,3.28,0,5.46,2.19,0,0,1.09,0,18.58,1.09,2.19,9.84,8.74,0,0,0,0,1.09,1.09,0,0,0,0,2.19,0,0,0
108-118,0,0.77,0,3.83,12.26,3.06,0,0,2.3,15.32,0,1.53,4.6,0.77,0.77,0,0,14.55,0,0.77,9.19,12.26,0,1.53,0,0,1.53,3.06,0,0,0,0,1.53,0,1.53,0
120,0,0,0,0,25.48,5.88,1.96,0,0,3.92,0,0,5.88,0,0,0,0,21.56,0,0,3.92,9.8,1.96,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0
