stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,643.61,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,15.77,0,31.54,0,0,0,68.35,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,465.28,18.4,0,0,173.5,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,34.62,0,0,0,25.18,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,453.16,31.47,0,0,163.64,0,3.15,3.15,3.15,22.03,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,7,1,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,6,0,0,3,48,2,0,0,1,0,2,0,6,1,5,21,0,0,0,0,0
 24-34,0,0,0.82,0,6.57,0,0,13.13,0,1.64,0,2.46,0.82,0,0.82,0,0.82,0,1.64,0.82,0,13.13,0,0,5.75,155.14,1.64,1.64,0.82,0,0,8.21,0,0,0,1.64,41.04,0,0,4.93,0,0
 36-46,0,0,0,0,1.61,0,0,26.59,0,0,0,4.83,0.81,0,0,0,0.81,0,0,0,1.61,18.53,0,0,5.64,221.56,0.81,1.61,1.61,0,0,5.64,0,0,0,0,61.23,0,0,0,0,1.61
 48-58,0,0,0,0,0,0.57,0,49.35,0.57,0,0.57,13.2,0,0,0,0,0,1.15,1.15,0,1.15,21.8,0.57,0,0.57,192.22,0,0.57,0.57,0,0.57,5.16,0,0,0,0,37.3,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,0.98,1.96,0,92.26,0.98,0.98,0,8.83,0.98,0,0,1.96,0.98,0.98,0.98,0,0,24.54,0.98,0,4.91,237.53,1.96,0.98,0,0,0.98,8.83,0,0,1.96,0,27.48,0,0,0,0,0
 72-82,0,0,0,0,3.93,5.89,0,67.73,0,0.98,0,10.8,0,0,0.98,0,0,0.98,0.98,0,0,38.28,0,0,0,160.01,0,1.96,0,0,0.98,4.91,0,0,0.98,0,17.67,0.98,2.94,4.91,0,0
 84-94,1.06,0,0,1.06,5.31,7.43,0,50.98,0,0,1.06,8.5,3.19,0,0,0,1.06,0,1.06,0,0,18.05,0,0,1.06,64.78,0,1.06,1.06,0,0,10.62,1.06,0,1.06,0,12.74,0,1.06,2.12,2.12,2.12
 96-106,0,0,0,0,4.37,2.19,0,43.71,0,0,0,7.65,2.19,0,1.09,1.09,3.28,0,0,0,0,22.95,1.09,1.09,5.46,55.74,1.09,0,1.09,0,1.09,17.49,0,0,0,0,1.09,2.19,0,0,0,0
108-118,0,0,0,0,6.89,3.06,0,32.17,0,1.53,1.53,6.13,2.3,0,0,1.53,0.77,2.3,0.77,0,0.77,16.09,0.77,0.77,3.06,72,0,3.06,2.3,0,0,6.89,0,0,0.77,0,3.83,0,0.77,1.53,2.3,0
120,0,0,0,0,13.72,1.96,1.96,21.56,1.96,0,0,5.88,1.96,0,0,3.92,0,0,0,0,0,13.72,0,0,3.92,70.55,1.96,5.88,1.96,0,0,9.8,0,0,0,0,1.96,0,0,0,1.96,0
