stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,7,0,1,16,0,0,0,1,0,0,8,0,1,7,4,0,0,0,0
 24-34,0,0,0,2.46,0,3.28,0,6.57,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0.82,87.83,0,2.46,0.82,0,0,2.46,0,0.82,1.64,1.64,14.78,0,0,0,0
 36-46,0,0,0,2.42,0,9.67,0,3.22,0.81,2.42,0,0,0.81,0,0,0,0,0,0,16.11,0.81,0,277.15,0,2.42,0.81,0,0,2.42,0,0.81,2.42,0.81,38.67,0,0,0,0
 48-58,0,0,0,1.72,0,31.56,0.57,1.72,0.57,1.72,0,0,0,0.57,0,0,0,0,0,17.79,0,0.57,543.39,0.57,2.87,0.57,0,0,1.72,0,0,0.57,0,74.02,0,0.57,0,0
 60-70,0,0,0.98,4.91,0.98,103.06,0,0.98,0.98,7.85,0.98,0,0,0.98,0,0,0,0,0,35.33,0,0,1062.99,0.98,5.89,0,0,0,2.94,0,0,0,0,129.56,0,0.98,0,0
 72-82,0,0,0,9.82,0.98,221.86,0,0.98,0.98,18.65,0,0,0.98,0.98,0.98,0.98,0,0,0,35.34,0.98,1.96,1150.51,0,2.94,3.93,0,0.98,2.94,0,0,0,0,89.33,1.96,0,0.98,0
 84-94,0,0,1.06,7.43,1.06,143.38,0,0,1.06,22.3,0,0,0,0,0,0,0,0,0,28.68,1.06,2.12,550.14,0,2.12,3.19,0,0,6.37,0,0,0,0,32.92,0,1.06,1.06,0
 96-106,0,0,2.19,8.74,0,139.88,0,0,0,24.04,2.19,0,1.09,1.09,0,1.09,0,0,0,24.04,0,2.19,438.23,0,3.28,8.74,0,0,3.28,0,0,0,0,17.49,3.28,0,0,1.09
108-118,0,0,0,3.83,1.53,85.79,0,0.77,0.77,13.02,0,0,0,0.77,0,1.53,1.53,0,0,22.21,0,0,498.64,0.77,4.6,1.53,0,0,6.13,0,0,0,0,19.15,0.77,0,0,0
120,0,0,0,7.84,0,96.03,0,0,0,15.68,0,0,0,0,0,0,0,1.96,0,19.6,0,1.96,574.22,0,1.96,3.92,0,0,5.88,0,0,0,0,17.64,0,1.96,0,0
