stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,1,0,0,0,3,0,0,0,0,0,0,0,3,1,62,0,0,0,0,0,0,1,23,0,2,0,0
 24-34,0,0,2.46,0,2.46,0,0,0,2.46,0,0,0,0,0,0,0,4.1,2.46,187.98,0,3.28,1.64,0,0,0,0,62.39,0,1.64,0,0
 36-46,0,0,0,0,22.56,0,0,0,2.42,0,0,0,0,0,0,0,9.67,3.22,298.9,0,4.03,2.42,0,0,0,0,61.23,0,0.81,0,0
 48-58,0,0,0.57,0,99.84,0,0,0,8.61,0,0.57,0,0,0,0.57,0.57,4.02,0,395.35,0.57,2.3,1.15,0,0,0,0,56.23,0,0.57,0,0
 60-70,0,0,0.98,0,213.97,0,0.98,1.96,17.67,0,0,0,0,0,0.98,0,4.91,0.98,571.25,0.98,1.96,0.98,0,1.96,0,0,53,0.98,1.96,0,0.98
 72-82,0,0,3.93,0,308.24,0,0.98,1.96,19.63,1.96,0,0,0,0.98,0,0,13.74,0,620.41,0,8.83,2.94,0,0.98,0,0,40.25,0,0.98,0,0
 84-94,0,0,5.31,0,190.1,0,0,1.06,13.81,1.06,0,1.06,0,0,0,0,11.68,1.06,300.56,0,3.19,4.25,0,0,0,0,24.43,0,0,2.12,0
 96-106,0,0,13.11,3.28,179.23,1.09,1.09,0,14.21,0,0,0,0,0,1.09,0,5.46,2.19,304.9,0,6.56,4.37,0,2.19,0,0,9.84,1.09,1.09,0,1.09
108-118,0,0,4.6,1.53,147.06,0.77,0,0,17.62,0,0,1.53,0.77,0,0,0,3.83,0,283.41,0,4.6,3.06,0,0,0.77,0,6.13,1.53,0,0.77,0
120,0,1.96,7.84,1.96,152.86,0,0,0,15.68,1.96,0,0,0,0,1.96,0,3.92,1.96,374.32,0,3.92,5.88,0,1.96,0,0,9.8,1.96,0,0,0
