stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,79.07,1212.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,104.2,1452.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,18.4,21.03,26.29,0,0,60.46,0,0,0,0,26.29,0,0,0,0,0,0,0,948.97,21.03,0,0,136.69,0,0,5.26,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,84.97,9.44,0,0,44.06,0,0,3.15,12.59,0,0,0,0
 14-21,0,0,0,4,1,2,0,0,0,1,0,0,0,0,0,3,0,2,5,1,0,1,0,0,0,0,0,3,1,0,0
 24-34,0,0,0,0,0,6.57,0,2.46,0,0,0,0.82,0,0.82,0,20.52,0,6.57,10.67,0.82,0,0,0,0,0,0,0.82,0.82,5.75,4.1,0
 36-46,0,0,0,4.03,0,13.7,0,0.81,0,0,0,0,0,0,1.61,29.81,1.61,7.25,9.67,0,0.81,0,0,0,0,0,0,0,1.61,1.61,0.81
 48-58,0,0,0,0.57,0,29.84,0,2.87,1.72,0,0,0,1.15,0,1.15,37.87,0,6.31,4.59,0,0,0,0,0,0,0,0,0,3.44,0.57,1.15
 60-70,0,0,0,2.94,0,29.45,0,1.96,4.91,0,0,0,0,0,0,39.26,2.94,4.91,6.87,0,0,0,0,0,0,0,0,0,1.96,0,3.93
 72-82,0,0,0,0,0,9.82,0,4.91,9.82,0,0,0,0,0,2.94,48.1,0,3.93,3.93,0,0,0.98,0,0.98,0,0,0,0,1.96,0,3.93
 84-94,0,0,0,3.19,0,6.37,2.12,1.06,5.31,0,0,0,1.06,0,3.19,28.68,2.12,2.12,1.06,0,0,0,0,1.06,0,0,0,0,3.19,1.06,2.12
 96-106,0,0,0,1.09,0,5.46,0,1.09,5.46,0,0,0,0,0,1.09,16.39,0,0,3.28,0,0,0,0,0,1.09,0,0,0,0,0,2.19
108-118,0,0,0,0,0,5.36,2.3,0.77,4.6,0,0,0,0.77,0,0,14.55,1.53,2.3,2.3,0,0,0,0,0.77,0,0,0,0,0,0,0.77
120,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,15.68,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
