stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,23.66,5.26,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,69.23,12.59,0,0,15.73,3.15,0,0,9.44,0,0,0,0
 14-21,0,0,1,17,3,11,0,13,1,0,0,0,1,0,10,0,9,55,6,0,6,4,0,1,16,13,10,75,0,0
 24-34,0,0,0.82,4.93,0,7.39,0,6.57,0,0,0,0,1.64,0,9.03,0,1.64,14.78,0.82,2.46,2.46,0,0,0,0,6.57,4.1,25.45,0,0
 36-46,0,0,0,0.81,0,3.22,0,9.67,0,0,0,0,0.81,0,3.22,0,1.61,12.09,0.81,3.22,1.61,0,0,0,0,5.64,0,12.89,0,0
 48-58,0,0,0,0.57,0,12.05,0,9.18,0,0,0,0,1.72,0,2.87,0,1.15,6.31,0,0.57,1.15,0,0,0,0,0,0,14.92,0,0
 60-70,0,0,0,0,0,33.37,0,11.78,0,0,0,0,0.98,0,4.91,0.98,1.96,3.93,0,3.93,3.93,0,0,0,0,0,0,7.85,0,0
 72-82,0,0,0,0,0,110.93,0,15.71,0,0.98,0,0,2.94,0,13.74,0,0,7.85,0,2.94,9.82,0,0,0,0,0.98,0,2.94,0,0.98
 84-94,0,0,0,0,0,89.21,1.06,7.43,0,0,0,0,1.06,0,14.87,1.06,0,4.25,0,0,5.31,0,0,0,0,3.19,0,4.25,0,0
 96-106,0,0,0,1.09,1.09,133.33,0,6.56,0,0,0,1.09,3.28,1.09,12.02,0,5.46,9.84,0,6.56,14.21,0,1.09,0,0,3.28,0,3.28,0,1.09
108-118,0,0,0,1.53,0,128.68,0.77,2.3,0,0,0,0,2.3,0,8.43,0,0.77,3.83,0,6.13,10.72,0,0,0,0,2.3,0,0.77,0.77,0
120,0,0,0,0,1.96,103.87,0,9.8,0,0,3.92,0,3.92,1.96,5.88,0,1.96,5.88,0,0,9.8,0,0,0,0,1.96,0,0,1.96,1.96
