stage,blastomeres,epidermis,eye,fin_epithelia,glial,immune,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,2.63,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,12.59,0,0,0
 14-21,0,0,0,0,0,0,0,16,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,7.25,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,12.76,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,0.98,21.6,0,0.98,0,0,1.96,0.98
 84-94,0,0,0,0,1.06,0,0,16.99,0,0,0,0,0,0
 96-106,0,2.19,2.19,0,1.09,0,0,10.93,0,0,0,1.09,0,0
108-118,0,0,0.77,0.77,1.53,0.77,0,19.92,0,0.77,0,0,0,0
120,0,0,0,1.96,1.96,1.96,0,15.68,0,0,0,1.96,0,0
