stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,2,12,0,0,1,1,1,1,2,0,4,3,0,0,0,0
 24-34,0,0,0,4.93,0,0,7.39,0,0,0,0.82,1.64,0,0.82,0,2.46,0,0.82,0,5.75,0,0.82,36.94,2.46,0,0.82,0,9.03,0,0,0,0.82,8.21,0,0,0.82,0.82
 36-46,0,0,0,4.03,0,0,4.03,0,0,0,0,0.81,0,0,0,0,0,0,1.61,4.03,0,1.61,27.39,1.61,0.81,0.81,0,4.03,0,0,0,0,4.03,0,0,2.42,0.81
 48-58,0,0,0,4.02,0,0,13.77,0.57,1.72,0,2.3,0,0,0.57,0,0.57,0,0,0.57,6.89,0.57,2.87,33.28,1.15,0.57,0,0,5.16,0,0,0,0,4.59,0,0,2.87,0.57
 60-70,0,0,0,2.94,0.98,0,19.63,0,0.98,1.96,6.87,0,0,0,0,0,0,0.98,0,7.85,0,1.96,27.48,0.98,0.98,0,0,1.96,0,0,0.98,0,7.85,0,0,0,0
 72-82,0,0,0,1.96,0,0,23.56,0.98,0,0,4.91,1.96,0,0,0.98,0,0,0,0.98,15.71,0.98,2.94,22.58,0,0.98,0.98,0,3.93,0,0,0,0,4.91,0,0,5.89,0.98
 84-94,0,0,0,4.25,1.06,1.06,11.68,1.06,2.12,1.06,5.31,0,0,0,0,0,0,0,0,15.93,0,1.06,12.74,1.06,1.06,1.06,0,7.43,0,0,0,0,1.06,0,0,2.12,0
 96-106,0,0,0,0,0,0,9.84,0,2.19,0,1.09,1.09,0,0,0,0,0,0,0,2.19,2.19,1.09,2.19,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0.77,3.06,1.53,1.53,8.43,0,1.53,0,3.06,1.53,0,0,0,1.53,0.77,0,0,9.19,1.53,3.06,12.26,0.77,0,0,0,9.96,0,0,0,0,0,0.77,0.77,2.3,1.53
120,0,0,0,11.76,1.96,1.96,15.68,3.92,0,0,9.8,1.96,0,1.96,1.96,1.96,0,1.96,1.96,23.52,0,1.96,25.48,1.96,0,5.88,0,13.72,0,0,0,0,1.96,0,0,3.92,0
