stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,44.06,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,2,1,9,0,0,0,0,0,27,0,1
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0.82,0,0,0,7.39,0,0,0,0,0,6.57,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,13.7,0,0,0,0,0,4.03,0,1.61
 48-58,0,0,0,0,2.87,0,1.15,0,0,0,0,0,0,0,8.03,0,0,0,0,0,6.31,0,0
 60-70,0,0,0,0,3.93,0.98,0.98,0,0,0,0.98,0,0,0,8.83,0,0,0,0,0,5.89,0,0.98
 72-82,0,0,0,0,9.82,0,0.98,0,0,0,0,0,0.98,0.98,3.93,0,0.98,0,0,0,3.93,0,0
 84-94,0,0,0,0,14.87,0,1.06,0,0,0,1.06,0,1.06,0,7.43,0,4.25,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,25.14,0,0,0,0,0,0,0,1.09,0,2.19,0,2.19,0,0,0,0,0,0
108-118,0,0,0.77,0.77,13.79,0.77,1.53,0.77,0,0,0,0.77,0,0,2.3,0,3.83,0,0,2.3,0.77,0,0
120,0,0,0,0,35.28,1.96,0,0,0,1.96,1.96,0,0,0,5.88,3.92,0,0,1.96,0,0,0,0
