stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,10.51,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,8,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0.82,0.82,0,8.21,0,46.79,0,0,0,0,0,7.39,0,0,0,0.82,0,25.45,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,62.84,0,0,0,0,0,12.09,0,0,0,0,0,47.53,0,1.61,0,0
 48-58,0,0.57,0.57,3.44,0,0.57,0,119.93,0,0.57,0.57,2.87,0,16.64,0,0,0,0,0,122.79,0,1.15,0,0.57
 60-70,0,0.98,0,3.93,0.98,0,0,152.14,0,0,0.98,1.96,0,7.85,0.98,0,0,0,0,75.58,0,0.98,0,0
 72-82,0,0,0,15.71,0,0,0,237.56,0,0,0,15.71,0.98,10.8,0,0.98,0,0,0,27.49,1.96,1.96,0,0.98
 84-94,0,1.06,1.06,11.68,1.06,0,0,189.04,0,0,0,15.93,0,9.56,0,0,0,0,1.06,35.05,0,1.06,0,0
 96-106,0,0,0,12.02,0,0,0,142.07,0,0,0,19.67,0,13.11,0,0,0,0,0,12.02,1.09,1.09,1.09,0
108-118,0,0,0,2.3,0,0,0,103.41,0,0.77,0,19.92,0,9.96,0,0.77,0,0,0,7.66,0,1.53,0,0
120,0,0,0,1.96,0,0,1.96,88.19,0,0,0,13.72,0,13.72,0,0,0,0,0,3.92,0,0,0,0
