stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,42.91,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,13.14,7.89,13.14,0,0,23.66,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,281.27,5.26,0,0,126.18,2.63,5.26,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,251.76,3.15,0,0,119.58,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,3,19,8,22,0,1,0,8,0,0,1,0,1,0,0,0,11,0,0,7,291,7,3,0,6,5,1,32,1,22,80,0,1,0
 24-34,0,0,1.64,12.31,6.57,181.41,0,0,0,13.95,0.82,0,0,0,0,1.64,0,1.64,70.59,0,0,17.24,895.55,1.64,4.93,3.28,0,9.03,0,0,0.82,2.46,179.77,0,6.57,0
 36-46,0,0,0,4.83,5.64,393.97,0,0,0,16.92,0,0,1.61,0,0,0.81,0,0,57.2,0,0.81,12.89,673.54,0.81,5.64,3.22,0,6.45,0,0,0,0,137.77,0,1.61,0
 48-58,0,0,0,5.16,2.3,392.48,0,0,0,14.92,1.15,0,0,0,1.15,0,1.15,0,51.64,0,5.74,10.33,228.37,0.57,0.57,1.15,0,2.87,0,0,0,0,30.99,0,2.3,1.15
 60-70,0,0,0,4.91,0,318.99,0,0.98,0,16.69,1.96,0,0,1.96,0,0,1.96,0.98,52.02,0,5.89,4.91,153.12,0.98,0,1.96,0,0.98,0,0,0,0,8.83,0,0,0.98
 72-82,0,0,0,2.94,0.98,91.29,0,0,1.96,16.69,0.98,0,0,0,0,0,0.98,0,37.3,0.98,0.98,5.89,71.66,0,1.96,1.96,0,0,0,0,0,0,0,0,2.94,0
 84-94,0,0,0,16.99,5.31,63.72,0,0,2.12,8.5,5.31,0,0,4.25,1.06,0,0,2.12,36.11,0,6.37,8.5,66.91,0,0,0,0,1.06,0,0,0,0,3.19,1.06,1.06,0
 96-106,0,0,0,2.19,0,34.97,0,0,0,10.93,2.19,0,1.09,2.19,1.09,1.09,0,0,18.58,0,0,2.19,31.69,0,2.19,1.09,0,1.09,0,0,0,0,0,1.09,4.37,0
108-118,0,0,0,3.06,1.53,52.85,0.77,0,0,9.19,0.77,0,0,1.53,1.53,0,0.77,0.77,11.49,0,1.53,3.06,47.49,0,0,3.06,0,0.77,0,0,0.77,0,0.77,0,3.83,0
120,0,0,0,7.84,5.88,74.47,0,0,0,11.76,1.96,0,0,11.76,0,0,1.96,1.96,9.8,0,1.96,5.88,113.67,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0
