stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,52.71,2016.22,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0
  5-6,110.33,1091.08,0,0,0,0,6.13,0,36.78,0,6.13,36.78,0,0,0,0,0,0
  7-9,23.66,26.29,21.03,0,86.75,0,26.29,0,578.32,26.29,254.99,2.63,15.77,0,0,0,0,0
 10-12,0,9.44,34.62,3.15,62.94,0,9.44,0,547.57,25.18,201.41,0,3.15,6.29,12.59,3.15,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,2.3,0.57,0,0.57,1.72,0,0,0,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,2.12,0,0,1.06,0,0,0,0,2.12,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
