stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0
 14-21,76,2,0,0,0,0,0,0,0,0,0,7,0,0,0,9,0,0,0,0,6,0,1,0,0,0
 24-34,79.62,2.46,1.64,0,0,0,0.82,0,0,0,0,18.06,0,0.82,0.82,38.58,3.28,0.82,0,0,4.1,0,0,0,0,0
 36-46,24.98,1.61,1.61,0,0.81,0,2.42,0.81,0,0,0.81,18.53,0,0.81,4.03,59.62,2.42,0.81,0,0,10.47,0,3.22,0,1.61,0
 48-58,20.66,0.57,5.74,0,0,1.72,1.72,0,0,0,0,15.49,1.72,1.72,5.16,88.94,1.72,0,0,0.57,4.59,0.57,1.15,1.15,1.15,0
 60-70,4.91,0,3.93,1.96,0,0,1.96,0,0,0,0,16.69,0,0.98,4.91,47.11,0,0,0,0.98,0,0,0,1.96,1.96,0
 72-82,4.91,0,4.91,0.98,0,0.98,0,0,0,0,0.98,25.52,0,3.93,6.87,19.63,0.98,0,0,0,0,0,0,3.93,2.94,0
 84-94,4.25,0,3.19,2.12,0,0,1.06,2.12,0,0,1.06,10.62,0,2.12,4.25,7.43,0,0,0,2.12,0,0,1.06,1.06,4.25,0
 96-106,3.28,0,2.19,0,0,1.09,1.09,0,0,1.09,0,10.93,0,2.19,4.37,8.74,0,0,0,2.19,3.28,0,0,3.28,5.46,1.09
108-118,1.53,0,1.53,0.77,0,0.77,0.77,0.77,0.77,0,0,13.02,0,0,0.77,13.02,0.77,0,0,3.06,0,0,0,1.53,2.3,0
120,1.96,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,9.8,0,0,0,13.72,0,0,0,0,3.92,0
