stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pgc,pronephros,somites,spinal_cord,vasculature
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,208.41,0,0,0,0,6.13,0,0,12.26,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,5.26,0,0,73.6,2.63,18.4,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,3.15,0,0,97.56,12.59,25.18,3.15,6.29,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0.82,0,6.57,0,0,0,0,0.82,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,1.15,0,1.72,1.15,4.02,0,0,0,0,0,3.44,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,1.96,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0,0,1.96
