stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,8,57,0,0,0,1,1,3,2,0,0,0,0,2,0,1,8,6,0,0,0,0,0,0,0,0,4,0,0,61,0
 24-34,0,0.82,0.82,10.67,3.28,0,0.82,0.82,0,7.39,3.28,0,0,0.82,0,3.28,0,1.64,13.13,0,0,0,0,0,0,0,1.64,0,9.85,0,0,194.54,0
 36-46,0,0,0.81,0,1.61,0,0.81,3.22,0,7.25,4.03,0,0.81,0,0,4.03,0,0.81,12.09,0.81,1.61,0,0,0.81,0,0,0,0,0.81,0,0,116.82,0
 48-58,0,0,0,0,1.15,0,1.15,4.02,0,8.03,2.3,0,0,0,0.57,8.03,0,2.3,12.05,0,0,0,0,0,0,0,0,0,2.87,0,0.57,99.84,0
 60-70,0,0,0.98,0,1.96,0,1.96,11.78,0,5.89,4.91,0,0,0,0,16.69,0,0.98,7.85,0,0,0,0,0,0,0,0,0,2.94,0,0,72.63,0
 72-82,0,0,0,1.96,5.89,0,1.96,29.45,0,23.56,11.78,0.98,0,0,0,40.25,1.96,1.96,17.67,0,0,0,2.94,0,0,0,0,0,1.96,0,3.93,184.55,2.94
 84-94,0,0,1.06,0,9.56,1.06,2.12,7.43,1.06,13.81,24.43,0,0,0,2.12,32.92,1.06,1.06,11.68,0,0,0,0,0,0,0,0,0,3.19,1.06,2.12,148.69,1.06
 96-106,0,0,3.28,1.09,9.84,2.19,0,13.11,1.09,19.67,10.93,0,0,1.09,1.09,34.97,4.37,3.28,25.14,1.09,1.09,2.19,1.09,0,0,2.19,0,0,0,0,1.09,169.39,2.19
108-118,0,0,1.53,0.77,6.89,0.77,3.06,13.79,0,8.43,11.49,3.06,0,0.77,0.77,25.28,3.06,0.77,19.92,0,1.53,0.77,1.53,0.77,0,2.3,0,0,0.77,0.77,0,154.72,1.53
120,0,0,0,0,0,0,0,9.8,0,5.88,15.68,1.96,0,0,0,25.48,0,0,15.68,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,119.55,0
