stage,blastomeres,erythrocytes,exocrine_pancreas,eye,glial,melanocytes,mesenchyme,muscle,neural,olfactory,pericytes,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,0,0,0.82,0,0,3.28,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0.81,1.61,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0.57,0.57,0,0.57,0,4.02,0,0,0,0,1.15,0.57,0.57
 60-70,0,0,0,0,0,0,1.96,0,2.94,0,0,0,0,0,0,0
 72-82,0,0.98,0,1.96,3.93,0,3.93,0.98,5.89,0,0,0.98,0,0,0,0
 84-94,0,0,0,2.12,1.06,0,4.25,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,0,2.19,1.09,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0.77,3.83,0,0.77,2.3,0.77,1.53,0.77,0,0,0,0,0,0.77
120,0,0,0,0,3.92,0,5.88,0,0,0,0,0,0,0,0,0
