stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,36.8,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,15.73,0,0,0,6.29,0,0,3.15,0,0
 14-21,0,0,8,6,3,0,0,0,16,0,0,0,0,0,5,0,56,3,0,2,0,0,0,6,13,0,2,53,0,0
 24-34,0,0,1.64,0,8.21,0,0,0,15.6,0,0,0,0,0.82,4.93,1.64,57.46,0,1.64,0.82,0,0,1.64,0,5.75,0.82,0,34.48,0,0
 36-46,0,0,0,0,17.72,0,0,0,5.64,0,0,0,0,0.81,3.22,0.81,37.87,0,0.81,1.61,0,0,0,0,0.81,0,0,26.59,0.81,0
 48-58,0,0,0.57,0,14.92,0.57,0.57,0,12.05,0,0,0,0,0,8.03,0.57,32.71,0,0.57,1.72,0,0,0,0,1.72,0.57,0,17.79,0,0
 60-70,0,0,0,0,33.37,0,0,0,6.87,0,0,0,0,0.98,6.87,0,49.08,0,2.94,1.96,0,0,0,0,0.98,0,0,10.8,0,0
 72-82,0,0,0.98,0,17.67,0,0,0.98,9.82,0.98,0,0,0,1.96,6.87,0.98,22.58,0,6.87,0.98,0,0.98,0.98,0,0,0,0,4.91,0.98,0
 84-94,0,0,1.06,0,6.37,0,0,0,5.31,0,0,0,0,0,4.25,0,6.37,0,3.19,4.25,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,3.28,0,0,0,1.09,0,0,0,0,1.09,2.19,0,8.74,0,4.37,5.46,0,0,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0.77,0,3.83,0,0,0,2.3,0.77,0,1.53,0.77,2.3,1.53,1.53,14.55,0,0.77,3.83,0,0.77,0.77,0,0.77,0,0,0.77,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,5.88,0,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0
