stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,4,8,2,0,0,0,0,0,2,0,244,12,3,0,0,1,0
 24-34,0,0,2.46,0,0,1.64,32.83,0,0.82,0,0,0,0,0.82,0,0,0,0.82,4.93,0,0,9.85,46.79,0.82,0,0.82,0,0,1.64,0,0,203.57,27.09,12.31,0,0,0.82,0
 36-46,0,0,0,0,0,4.83,37.06,0,3.22,0,0,0.81,0,0,0,0,0.81,0,2.42,0,0,6.45,29,0.81,0,0,0,0,2.42,0,0,146.63,4.03,1.61,0,0,0.81,0.81
 48-58,0,0,0.57,0,0,6.31,33.85,0,0.57,0,0,0.57,0,0.57,0,0,0,0,3.44,1.15,0,2.87,14.92,1.15,0,0.57,0,0,0.57,0,0.57,69.43,0,1.72,0,0,0,0
 60-70,0,0,0.98,0,0,3.93,40.24,0.98,0.98,0.98,0,1.96,0.98,2.94,0,0,0,0,1.96,0,0,4.91,7.85,4.91,0,0,0.98,0,0.98,0,0,37.3,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,11.78,59.88,0,0.98,0,0,0,0,4.91,0,0,0.98,0,5.89,0,0.98,4.91,14.72,0,0,0.98,0,0,0.98,0,0,26.5,0,1.96,0.98,0,0,0
 84-94,0,0,1.06,0,0,7.43,92.4,0,1.06,1.06,1.06,0,0,7.43,0,1.06,0,2.12,4.25,0,0,11.68,9.56,0,0,0,0,0,2.12,0,0,46.73,0,1.06,0,0,0,0
 96-106,0,1.09,9.84,5.46,0,22.95,269.93,1.09,6.56,1.09,0,7.65,2.19,26.23,0,0,2.19,0,24.04,1.09,1.09,14.21,34.97,1.09,1.09,1.09,1.09,0,12.02,0,0,67.76,0,2.19,0,1.09,3.28,0
108-118,0,0.77,4.6,3.06,1.53,10.72,242.04,0,4.6,0,0,3.83,0,7.66,0.77,0.77,3.06,0.77,13.79,0.77,0.77,19.15,24.51,3.06,0,1.53,0,0.77,2.3,0,0,60.51,0,0.77,0,1.53,0,1.53
120,0,0,9.8,0,0,3.92,172.46,0,3.92,0,0,3.92,0,11.76,1.96,0,0,0,5.88,1.96,0,7.84,17.64,0,0,0,0,0,1.96,0,0,27.44,0,0,0,1.96,0,0
