stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,2,9,0,0,2,0,2,1,0,0
 24-34,0,1.64,5.75,0,0,0,0,0.82,0,4.1,0,1.64,28.73,0,0,0,0.82,0.82,4.1,0,0
 36-46,0,0.81,8.86,0,0,0,0,0,0.81,3.22,0,0.81,16.11,0,0,0,0,0,3.22,0,0
 48-58,0,1.15,5.74,0,2.3,0.57,0,0,0,0.57,0,0.57,16.07,0.57,0,0,0,0,2.87,0.57,0
 60-70,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0.98,3.93,0,0,0,0,0,0.98,0,0
 72-82,0,0,4.91,0,0,0.98,0,0,0,2.94,0,0,9.82,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,1.06,0,1.06,0,0,4.25,0,0,0,0,0,0,0,0
 96-106,0,1.09,2.19,0,0,0,0,0,0,2.19,0,0,4.37,0,0,0,0,0,0,0,1.09
108-118,0,0.77,0.77,0,0.77,0,0.77,0,0,2.3,0.77,1.53,2.3,0,0,0,0,0,0,0,0
120,0,3.92,1.96,1.96,1.96,0,0,0,0,3.92,0,0,7.84,0,0,0,0,0,0,0,0
