stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,4.93,0,0,0,0,0,0.82,0.82,0,0,39.4
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,4.03,10.47,0,0,0,0,0.81,0,2.42,0,0,66.87
 48-58,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0.57,0,0,1.72,0,9.75,6.31,0,0,0,0,0,0,0.57,0,0.57,58.53
 60-70,0,0,0,0,0,0.98,0,0,6.87,0,0,0,0,0,0,0,1.96,7.85,0,6.87,4.91,0,0,0,0,0,0,0,0,0,48.09
 72-82,0,0,0,0,0,5.89,0,0,23.56,1.96,0,0,0,0,0,0,16.69,14.72,0,6.87,5.89,0,0.98,0,0,0,0,0.98,0,1.96,49.08
 84-94,0,0,0,0,0,2.12,0,0,9.56,1.06,0,0,0,0,1.06,0,21.24,6.37,0,2.12,4.25,0,0,0,0,0,0,0,1.06,1.06,42.48
 96-106,0,0,2.19,2.19,0,9.84,0,3.28,60.11,5.46,0,0,1.09,0,0,1.09,104.91,61.2,1.09,7.65,28.41,2.19,0,0,1.09,0,0,0,0,2.19,59.01
108-118,0,0,1.53,0.77,0.77,13.79,0.77,3.83,63.57,6.13,0,0,1.53,0,1.53,0,466.47,121.02,0.77,7.66,26.04,0,0,0.77,3.06,0.77,0,1.53,0,0.77,91.92
120,0,0,0,1.96,0,19.6,1.96,5.88,107.79,3.92,1.96,0,0,1.96,0,0,386.08,217.54,0,7.84,37.24,0,1.96,0,1.96,0,0,1.96,1.96,3.92,39.2
