stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,3,0,0,1,0,46
 24-34,0,0,0.82,0,8.21,0,0.82,0,0.82,0,0,0,1.64,0,0,1.64,3.28,0,0,4.93,48.43,0.82,0,0,0,0.82,3.28,0,0.82,3.28,9.03,0,3.28,0,220.81
 36-46,0,0,0,0,7.25,0.81,0,0.81,0,0,0,0,0.81,0,0.81,0,0.81,0,0,0.81,20.95,0.81,0.81,0,0,0,3.22,1.61,0,0,3.22,0,1.61,0,254.59
 48-58,0,0,0,0,8.03,0,0,0.57,1.15,0,0,0,3.44,0,0,0,2.3,0,0,1.72,19.51,1.15,0,0,0,0,4.59,0.57,0,0,2.87,0,0,0,316.17
 60-70,0,0,0.98,0,0.98,0.98,0,0,0,0.98,0,2.94,0.98,0,0,0,3.93,0,0,0,8.83,0,0,0,0,0,4.91,0,0,0,1.96,0,0.98,0,281.7
 72-82,0,0,0.98,0,18.65,0,0.98,0.98,0.98,0,0,0,7.85,0,0.98,0.98,6.87,0,0,1.96,7.85,0,0,0.98,0,0,10.8,0,0,0,0,0,1.96,0,262.1
 84-94,0,0,2.12,2.12,32.92,0,0,0,0,0,0,0,9.56,0,0,0,2.12,0,0,0,7.43,0,0,0,0,0,11.68,1.06,0,0,0,1.06,0,0,204.97
 96-106,0,0,4.37,0,26.23,0,1.09,0,4.37,1.09,0,1.09,3.28,1.09,1.09,0,5.46,0,1.09,1.09,10.93,0,0,0,0,0,9.84,0,0,0,0,0,3.28,1.09,225.13
108-118,0,0,0.77,1.53,9.19,0,0,0,1.53,0,1.53,0.77,0.77,0,2.3,0,3.06,0.77,0,0.77,6.89,0,0.77,0,0,0,13.02,0,0,0,0,0,0,0,216.77
120,0,0,1.96,0,3.92,0,0,0,1.96,0,0,0,1.96,1.96,1.96,0,1.96,0,0,0,3.92,0,0,0,0,0,7.84,0,0,0,0,0,0,0,96.03
