stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,5.75,0,1.64,0,0.82,0,0,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,8.86,3.22,0,0.81,0,0,0,0.81,0,0,0,0.81,0.81,0,0
 48-58,0,1.15,0,0,0,0,0,1.15,0,0,2.87,0,0,0,12.05,6.89,1.15,4.02,0,0,0,3.44,0,0,0,0.57,1.72,0,1.15
 60-70,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,36.32,26.5,1.96,2.94,0,0,0,5.89,0,1.96,0,0.98,12.76,0,12.76
 72-82,0,0,0,0,4.91,0,0,0.98,4.91,0.98,1.96,0,0,0,63.81,32.39,0.98,4.91,0,0.98,0,4.91,0.98,0,0,0,31.41,1.96,41.23
 84-94,0,1.06,0,0,8.5,5.31,0,2.12,0,0,0,0,0,1.06,41.42,37.17,1.06,3.19,1.06,0,0,4.25,1.06,2.12,0,0,35.05,0,35.05
 96-106,0,1.09,2.19,0,2.19,0,0,1.09,0,0,2.19,0,1.09,0,43.71,24.04,2.19,8.74,0,0,0,16.39,1.09,0,0,0,40.44,2.19,54.64
108-118,0,0,0,0.77,2.3,0.77,0,0.77,0.77,0.77,0.77,0.77,0,0,32.94,19.92,0.77,6.89,0,0,0,16.85,0,1.53,0,0,39.06,0,29.11
120,0,0,0,0,0,1.96,1.96,0,1.96,0,3.92,0,0,0,33.32,15.68,1.96,5.88,0,0,0,15.68,3.92,1.96,0,0,23.52,0,31.36
