stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,1.64,2.46,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,4.03,8.86,0,0,0,0,0,0,0,0
 48-58,0.57,0,0,0,1.15,0.57,0,0,0,0,0,16.07,1.15,0,0,0,2.87,12.62,1.15,0,0,0,0,0,0,0
 60-70,0.98,0,0,0,0.98,0,0,0,0,0,0,26.5,0.98,0.98,0,0,3.93,14.72,0.98,0.98,0,0.98,0,0,0,0
 72-82,1.96,2.94,0,0,7.85,0,0,0,0.98,0,0,56.94,3.93,0,0,0,13.74,27.49,3.93,0,0,0,0,0,0.98,0
 84-94,3.19,2.12,0,0,8.5,0,0,2.12,0,1.06,1.06,99.83,3.19,0,1.06,1.06,2.12,108.33,2.12,0,0,0,1.06,0,0,2.12
 96-106,2.19,1.09,4.37,2.19,4.37,0,1.09,5.46,2.19,0,1.09,131.14,10.93,0,0,0,12.02,150.81,1.09,3.28,1.09,0,5.46,0,0,1.09
108-118,8.43,1.53,1.53,0,6.89,0.77,0,2.3,0,0,0,98.04,3.83,0.77,0,0,4.6,101.87,2.3,0,0,0,7.66,0,0,0.77
120,1.96,0,0,0,3.92,0,0,0,0,0,1.96,60.75,3.92,0,0,0,1.96,62.71,0,1.96,0,0,0,1.96,0,0
