stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,606.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,13.14,0,0,23.66,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,191.9,7.89,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,176.23,3.15,0,0,47.2,0,0,3.15,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,2,5,0,1,0,4,1,1,0,0,1,0,0,0,0,9,0,0,3,66,1,0,2,1,0,0,0,3,2,6,34,0,0,0,0,0
 24-34,0,0,0,0.82,7.39,0,17.24,0,0,0,4.1,0.82,0,0.82,0,0,0,1.64,0,0.82,18.88,0,0,8.21,266.78,0.82,3.28,2.46,0.82,0,4.1,0,0,0,2.46,70.59,0,0,5.75,0,0
 36-46,0,0,0,0,2.42,0.81,59.62,0.81,0,0,13.7,0,0,0,0.81,0.81,1.61,0,0,0,28.2,0.81,0,2.42,352.08,0.81,2.42,0,0,0,4.03,0,0,0.81,0,79.76,0,0,2.42,0,0
 48-58,0.57,0,0,0,1.72,0,84.35,0.57,0.57,1.15,18.36,0,0,0,0,0,0,0,0.57,0,19.51,0.57,0.57,5.16,210.01,0.57,0.57,0,0,0,2.87,0,0,0,0,47.63,0,0,2.3,0,0
 60-70,0,0,0,0,4.91,0.98,81.47,0,0.98,0,10.8,1.96,0,0,1.96,0,0,0.98,0,0,40.24,0,0.98,3.93,183.54,0.98,2.94,0.98,0,0.98,5.89,0,0,0,0,17.67,0,0,1.96,0,0
 72-82,0,0,0,0,2.94,0.98,60.86,0,0,2.94,12.76,0.98,0,0,0.98,0,0,0,0.98,0,22.58,0.98,0.98,3.93,105.04,0,0,2.94,0,0,3.93,0,0,0,0,7.85,0.98,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,9.56,0,33.99,0,0,0,6.37,1.06,1.06,0,5.31,1.06,0,0,1.06,1.06,12.74,0,0,2.12,72.22,1.06,1.06,4.25,0,0,8.5,0,0,0,0,6.37,0,0,4.25,0,1.06
 96-106,0,0,0,0,7.65,4.37,25.14,0,2.19,0,5.46,2.19,0,0,4.37,2.19,0,2.19,0,0,14.21,1.09,0,2.19,39.34,0,1.09,1.09,0,1.09,12.02,0,0,0,0,1.09,0,0,2.19,0,0
108-118,0,0,0,0,11.49,1.53,23.74,0,3.83,0.77,13.02,3.83,0,0,6.89,2.3,0.77,0,0.77,0,12.26,0,0,2.3,53.62,0.77,0,1.53,0,0,9.96,0,0,0,0,0,0.77,0,1.53,0,0
120,0,0,0,0,9.8,1.96,19.6,0,0,1.96,9.8,7.84,0,0,9.8,0,1.96,0,0,0,3.92,0,0,1.96,29.4,0,1.96,1.96,0,0,3.92,0,0,0,0,0,3.92,1.96,0,1.96,0
