stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,4,0,3,7,0,0,3,1,0,0,2
 24-34,0,1.64,0.82,0,0,0,0,0,0.82,0,0,2.46,0.82,0,0,0,0,0.82,0.82
 36-46,0,0.81,0,0,0,0,0,0,1.61,0,0,0.81,0,1.61,0,0,0,0,0.81
 48-58,0,0,0,0.57,0.57,0,0,0,4.02,0,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0.98,0,0.98
 72-82,0,0,3.93,0,0,0,0,0,7.85,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,11.68,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,1.09,0,1.09,4.37,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,0,1.53,0,0,6.13,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0
