stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,99.89,2.63,0,34.17,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,1,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,4.02,0.57,0.57,0,0,0,0,0,0.57,0,1.15,5.74,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,15.7,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,6.87,0,0,1.96,0,0,0,0,0,0,0.98,3.93,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,1.06,0,0,1.06,0,1.06,3.19,0,1.06,0,0,0,1.06,0,3.19,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,20.76,0,0,0,0,0,0,0,7.65,0,1.09,0,0,0,0,0,2.19
108-118,0,0,0.77,0,0.77,0,0,0,46.72,0,0,0.77,0.77,0,0,0,4.6,0,0,0,1.53,0,0,0,0.77
120,0,0,0,1.96,0,1.96,0,1.96,76.43,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0,0,0,0
