stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,17,3,4,0,0,5,0,0,0,2,0,0,0,0,9,0,0,9,122,2,0,1,2,0,18,0,27,28,0,1,0,1
 24-34,0,0,0,0.82,3.28,0,15.6,0.82,0.82,6.57,0,0.82,0.82,3.28,0.82,0,0,0.82,15.6,0,0,15.6,163.35,0.82,0.82,5.75,0,1.64,0,0,7.39,39.4,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,25.78,0,0,0.81,0,0,0,0.81,0,0,0,0,4.03,0,0,2.42,80.57,0,0.81,2.42,0,0.81,0,0.81,0,23.36,0,0.81,0,0
 48-58,0,0,0,0,3.44,0.57,35,0,0.57,16.07,0.57,0.57,0.57,0,0,0.57,0,0.57,15.49,0,0.57,4.02,36.72,0,0.57,1.15,0,1.72,0,0,0,13.2,0,2.87,0,0
 60-70,0,0,0,0,0.98,0,27.48,0.98,0.98,15.7,1.96,0,0,0.98,0,0,0,0,11.78,0,0.98,0.98,31.41,0.98,0,0.98,0,2.94,0,0,0,4.91,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,11.78,0,0,16.69,0,0,2.94,0,0,0.98,0.98,0,9.82,0,0.98,0.98,22.58,0,2.94,0.98,0,0,0,0,0,2.94,0,2.94,0.98,0
 84-94,0,0,0,0,3.19,1.06,12.74,1.06,0,8.5,5.31,1.06,1.06,4.25,1.06,0,0,0,3.19,0,0,2.12,14.87,0,5.31,0,0,1.06,0,1.06,0,0,1.06,5.31,0,0
 96-106,0,0,0,0,6.56,0,13.11,0,1.09,7.65,3.28,2.19,2.19,2.19,1.09,1.09,2.19,0,13.11,1.09,0,3.28,19.67,0,4.37,4.37,0,2.19,0,0,0,0,0,4.37,0,0
108-118,0,0,0.77,0,6.13,0.77,14.55,0.77,0.77,16.09,3.06,0.77,3.06,0,0.77,0.77,0.77,0,6.89,0,0,0.77,31.4,0,0.77,0.77,0,3.83,0,0,0,0.77,0,0.77,0,0.77
120,0,0,0,0,3.92,1.96,15.68,3.92,1.96,11.76,1.96,0,3.92,1.96,0,0,0,0,9.8,0,0,3.92,33.32,1.96,1.96,0,0,1.96,0,1.96,0,0,1.96,1.96,1.96,0
