stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,1,0,0,0,0,0,15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,142.01,0,15.6,0,0,0,0.82,0,52.53,0,0,1.64,0,0
 36-46,0,0,1.61,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,3.22,359.33,0,15.31,0,0.81,0,0.81,0,75.73,0,0,0,0,0.81
 48-58,0,0,1.72,0,1.15,0,0,36.15,0,1.15,1.15,3.44,0,0,0,0.57,0,0,0,5.74,0,0,0,416.58,0,12.05,0.57,0,0,0.57,0,73.45,0,0,0,0,0
 60-70,0,0,0.98,0,3.93,0,0,106,0,0,0.98,3.93,0,0,0,0,0,0,0,10.8,0,0,0.98,790.13,0,15.7,0.98,0,0,0,0,92.26,0,0.98,0,0,0
 72-82,0,0,1.96,0,4.91,0,0,249.34,0.98,0.98,0,18.65,0.98,0,0,0.98,0,0,0,20.61,0,0,0.98,810.85,0,23.56,1.96,0,0.98,0.98,0.98,81.48,0.98,0,0,0.98,0.98
 84-94,0,0,0,0,5.31,0,1.06,198.6,0,0,0,14.87,0,0,2.12,0,1.06,0,0,16.99,0,1.06,1.06,531.02,1.06,18.05,1.06,0,1.06,3.19,0,47.79,1.06,2.12,1.06,4.25,0
 96-106,0,0,3.28,0,9.84,2.19,0,190.16,0,0,1.09,21.86,2.19,0,0,0,0,3.28,1.09,15.3,0,0,1.09,455.72,0,26.23,7.65,0,0,2.19,0,28.41,0,0,2.19,1.09,0
108-118,0,0,1.53,0,6.13,0,0,175.41,0.77,0,0,27.57,0.77,0,2.3,0,0,0,0,13.79,0.77,0,0,468,0,19.92,3.83,0,0,0.77,0.77,13.02,0.77,0.77,3.06,0,0.77
120,0,0,3.92,0,3.92,0,0,148.94,0,0,1.96,21.56,0,0,1.96,0,0,0,0,15.68,1.96,0,1.96,531.1,0,19.6,3.92,0,0,0,0,33.32,0,0,0,0,0
