stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,spinal_cord
 14-21,0,0,0,0,0,0,0,0,1,0,0,1,2
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,1.64
 36-46,0,0,0,0.81,0,0,0,0,4.83,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,10.33,0.57,0.57,0,1.72
 60-70,0,0,0,0,0,0,0,0,10.8,0.98,0,0,0
 72-82,0,0.98,0,0,0.98,0,0,0,12.76,1.96,0,0,0
 84-94,0,2.12,0,0,3.19,1.06,1.06,1.06,5.31,0,0,0,0
 96-106,0,2.19,0,0,1.09,0,0,0,2.19,0,0,0,1.09
108-118,0,1.53,0,0,1.53,0.77,0,0.77,6.13,0.77,0,0,0
120,1.96,1.96,1.96,0,1.96,0,0,0,11.76,0,1.96,0,0
