stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,2556.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,24.52,723.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,10.51,0,0,0,34.17,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,268.13,13.14,0,0,47.32,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,25.18,0,3.15,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,317.84,9.44,0,0,97.56,0,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,63,0,0,1,2,0,1,0,4,2,8,18,0,0,0,0
 24-34,0,0,0,0.82,4.93,0,0,17.24,0.82,0,0,1.64,0,0,0,1.64,0.82,0.82,0.82,0,0,16.42,0,0,9.03,169.1,0.82,0,1.64,0,0,13.13,0,0,0.82,2.46,33.66,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,0,49.15,0.81,0,0.81,10.47,0,0,0,0.81,0,0,0,0,0,16.92,0,0,3.22,209.47,0,2.42,0.81,0.81,0,7.25,0,0,0.81,0,55.59,0,2.42,0,0
 48-58,0,0,0,0,3.44,1.15,0,71.15,0,0.57,1.15,10.9,0,0,0.57,0,0.57,0,1.15,0,0.57,14.35,0.57,1.15,1.72,137.71,1.15,1.72,0.57,0,0,3.44,0,0,0,0,35.58,0,1.15,0,0
 60-70,0,0,0,0,0.98,0.98,0,106.99,0,2.94,0.98,19.63,0.98,0.98,0.98,0,0,0.98,0.98,0,0,30.43,0,2.94,0.98,202.19,0,0,0,0,0,3.93,0,0,0,0,25.52,0,0.98,0,0
 72-82,0,0,0,0,0.98,2.94,0,67.73,0,0.98,2.94,16.69,0,0,0.98,0,3.93,0.98,0,0,0,19.63,0.98,0.98,4.91,163.94,0,2.94,0.98,0,0.98,1.96,0,0,0,0,11.78,0,3.93,0,0.98
 84-94,0,0,0,0,5.31,2.12,1.06,48.85,0,2.12,0,12.74,1.06,0,0,0,0,1.06,0,1.06,2.12,21.24,1.06,0,5.31,75.4,0,1.06,0,0,0,8.5,0,0,1.06,0,7.43,0,4.25,1.06,1.06
 96-106,0,0,1.09,0,3.28,4.37,0,49.18,0,0,1.09,6.56,0,0,0,2.19,1.09,0,1.09,0,0,16.39,1.09,0,1.09,76.5,0,0,2.19,0,0,8.74,0,0,0,0,2.19,0,0,0,1.09
108-118,0,0,0.77,0.77,6.89,0.77,0,28.34,0,2.3,1.53,12.26,3.83,0,0.77,3.83,0.77,0.77,0,0,0.77,14.55,0.77,0.77,6.13,75.06,0,0.77,2.3,0,1.53,9.19,0,0,0.77,0,0.77,1.53,1.53,2.3,1.53
120,0,0,0,0,11.76,0,0,31.36,0,0,0,15.68,0,0,0,1.96,1.96,0,1.96,0,0,13.72,0,0,7.84,64.67,0,0,1.96,0,3.92,1.96,0,0,3.92,0,3.92,0,0,1.96,0
