stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,7,0,0,0,0,0,1,0,0,7,1,0,3,1,0,2,1,4,1,1,36,0
 24-34,0,0,0,0.82,0,0,0,0,9.03,0,0.82,0,0,0.82,0,0,0,4.1,0,4.93,0.82,0,0,9.03,0,3.28,0,0,22.98,0
 36-46,0,0,0,0,0,0.81,0,0.81,1.61,0,0,0,0,0,0,0.81,0,14.5,0,8.06,1.61,0,0,2.42,0,4.83,0,0,16.11,0
 48-58,0,0,0,0.57,0,2.3,0,0,5.74,0,2.87,0,0,0,0.57,0,0,4.59,0,8.61,1.15,0,0,0,0,0.57,0,0,13.2,0
 60-70,0,0,0,0.98,0,1.96,0.98,0,10.8,0,0,0,0,0,0,0,0,6.87,0,5.89,0.98,0,0,6.87,0,0.98,0,0,8.83,0
 72-82,0,0,0,0.98,0.98,3.93,0.98,0,12.76,0,0,0,1.96,0,0.98,0.98,0,6.87,0,11.78,5.89,0,0,2.94,0,0.98,0,0,7.85,0
 84-94,0,0,0,2.12,0,3.19,1.06,0,7.43,1.06,2.12,1.06,1.06,0,1.06,0,0,4.25,0,7.43,9.56,0,0,10.62,1.06,3.19,0,0,3.19,0
 96-106,0,0,0,5.46,1.09,2.19,2.19,0,9.84,1.09,0,0,3.28,1.09,0,0,1.09,1.09,0,18.58,4.37,0,1.09,4.37,0,0,0,0,6.56,1.09
108-118,0,0.77,0,3.06,0,2.3,1.53,0,7.66,0,0,0,0.77,0,0.77,0,0,4.6,0,8.43,3.83,0,0,5.36,0,1.53,0,0,4.6,0
120,0,0,0,3.92,0,1.96,1.96,0,5.88,0,0,0,1.96,0,3.92,0,0,3.92,0,13.72,7.84,0,0,7.84,0,1.96,0,0,1.96,0
