stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,59.79,0,0,3.15,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,1,7,0,1,0,0,1,0,0,0,0,0,1,0,0,3,66,1,0,1,1,0,14,0,92,274,16,0,0,0,0
 24-34,0,0.82,0,0,0,11.49,7.39,0,0,0,0,0,0,0,4.1,0,2.46,0,0,3.28,40.22,0,1.64,0.82,0,0.82,0,0,38.58,65.67,7.39,0,0,0,0
 36-46,0,0,0,0,0.81,6.45,4.03,0,0,0,0,1.61,0,0,7.25,0,0.81,0,0,4.03,21.75,0,3.22,0,0,0,0,0,19.34,1.61,4.83,0,0.81,0,0
 48-58,0,0,0,1.15,0,9.18,4.02,0,0.57,1.72,0,0.57,0,0,10.33,0,2.3,0.57,0,7.46,6.31,0,4.02,0.57,0,1.15,0,0,10.33,0,1.72,0,0,0,0
 60-70,0,0,0,3.93,0,2.94,3.93,0,0,3.93,0,0,0,0,10.8,0,2.94,0,0,5.89,5.89,0,7.85,0,0,0,0,0,14.72,0,2.94,0,0,0,0
 72-82,0,0,0,10.8,0,3.93,5.89,0,0,2.94,0.98,0,0,0,18.65,0,5.89,0,0.98,5.89,13.74,0,9.82,0,0,4.91,0,0,7.85,0,0,3.93,0,0,0
 84-94,0,0,0,27.61,0,5.31,16.99,1.06,0,2.12,7.43,0,1.06,0,13.81,0,2.12,0,1.06,7.43,4.25,2.12,4.25,1.06,0,6.37,0,0,21.24,0,1.06,1.06,0,0,0
 96-106,0,0,0,43.71,0,8.74,24.04,3.28,0,1.09,3.28,1.09,0,0,21.86,1.09,7.65,0,1.09,5.46,14.21,0,9.84,1.09,0,19.67,0,0,33.88,0,1.09,0,0,0,0
108-118,0,0,0,42.89,0,5.36,25.28,3.83,0,2.3,1.53,0.77,0.77,0.77,13.79,0,2.3,0.77,0,12.26,20.68,0,8.43,2.3,0,16.85,0,0,31.4,0,0.77,2.3,0.77,1.53,0.77
120,0,0,0,37.24,1.96,1.96,29.4,3.92,1.96,5.88,0,0,0,0,5.88,0,3.92,1.96,1.96,9.8,9.8,0,3.92,0,0,11.76,1.96,0,9.8,0,1.96,1.96,0,0,0
