stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 14-21,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,15,1,0,0,0,4,3,6,0,0
 24-34,0,0,0,9.03,0,0,0.82,0.82,0,0,1.64,0,3.28,0,0.82,61.56,1.64,0.82,0.82,0.82,0,0,11.49,0.82,0.82
 36-46,0.81,0,0,4.83,0,0.81,0.81,0,0,0,0.81,0,4.03,0,0,45.12,0,0,0.81,0.81,0,0,7.25,0,0
 48-58,0,0,0,20.66,0.57,0,5.16,0,0,0.57,4.02,0.57,6.89,0,1.15,51.07,0,0.57,0.57,0,0,0,6.89,0,0
 60-70,0.98,0,0,20.61,1.96,0,0.98,0,0,0,10.8,0,7.85,0.98,0,43.19,0,0,1.96,0.98,0,0,0.98,0,0
 72-82,0.98,0.98,0,11.78,0,0.98,3.93,0,0,0.98,23.56,0.98,5.89,0,0.98,32.39,0,0.98,2.94,0,0,0,2.94,0.98,1.96
 84-94,1.06,1.06,0,14.87,0,1.06,3.19,0,1.06,0,32.92,0,7.43,0,1.06,21.24,0,1.06,1.06,3.19,0,0,1.06,1.06,0
 96-106,1.09,0,0,12.02,0,0,3.28,1.09,0,1.09,50.27,1.09,4.37,0,0,22.95,0,0,2.19,1.09,0,0,0,0,0
108-118,0,1.53,0.77,10.72,0.77,0,3.06,0,0,0.77,35.23,0.77,6.89,0,0,12.26,0.77,0.77,0.77,1.53,0,0,0.77,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,29.4,0,1.96,0,1.96,19.6,0,0,1.96,3.92,0,0,0,0,0
