stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0,0,0,0,2,0,0,156,116,1,0,0,0,0,0
 24-34,0,4.93,0,0,6.57,124.77,0,0,0,0,1.64,0.82,0,4.93,0,0,0,0,8.21,0.82,0,9.03,89.47,0.82,0,1.64,0,0,2.46,0.82,0,73.88,54.18,11.49,0,0,0,0,0
 36-46,0,2.42,0,0,14.5,231.23,0,0,1.61,0,2.42,2.42,0,1.61,1.61,0,0,0.81,15.31,0,0,12.89,136.96,1.61,0.81,0.81,0,0,7.25,0,0,87.01,0.81,31.42,0,0,2.42,0,0.81
 48-58,0,0,0,0,21.23,117.06,0,0,1.72,0,0.57,0,0,0,0,0,0,0.57,4.59,0,0,9.75,44.76,0,0,0,0,0,0,0,0,44.18,0,12.62,0,0,0,0,0
 60-70,0,2.94,0.98,0,31.41,122.69,0,0,0,0,0,0,0,0.98,0,1.96,0,0.98,20.61,0,0,17.67,46.13,0,0,1.96,0.98,0,4.91,0,0,41.22,0,2.94,0.98,0,0,0.98,0
 72-82,0,1.96,0,0,24.54,71.66,0,0,6.87,2.94,0,0.98,0,0.98,0,0.98,0,0,27.49,0,0,18.65,40.25,0,0,0,0.98,0,3.93,0,0,20.61,0,1.96,1.96,0,4.91,0,0
 84-94,1.06,1.06,0,0,19.12,158.24,0,0,6.37,11.68,0,0,0,1.06,2.12,0,0,0,20.18,1.06,0,14.87,29.74,0,1.06,1.06,0,0,1.06,0,0,59.47,0,2.12,11.68,0,3.19,0,0
 96-106,0,12.02,13.11,0,41.53,382.5,5.46,1.09,15.3,13.11,0,0,3.28,2.19,2.19,2.19,9.84,0,43.71,1.09,1.09,21.86,93.98,1.09,0,2.19,1.09,2.19,25.14,0,0,64.48,0,1.09,30.6,0,4.37,3.28,3.28
108-118,0,7.66,1.53,1.53,28.34,376.85,2.3,1.53,10.72,14.55,0,0,2.3,1.53,0,1.53,2.3,2.3,35.23,0.77,1.53,36.77,72.77,2.3,0.77,4.6,0,3.06,9.19,0,0.77,72.77,0,4.6,42.89,5.36,2.3,0.77,3.06
120,0,3.92,7.84,1.96,15.68,219.5,0,0,3.92,11.76,0,0,1.96,0,0,0,0,0,3.92,0,0,39.2,58.79,0,0,3.92,0,0,0,0,0,23.52,0,0,15.68,0,1.96,0,0
