stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0
 24-34,0,0,0,0,0.82,0,10.67,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,9.03,4.93,0,0,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0
 36-46,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0.81,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,1.15,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,124.65,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0.98,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,12.76,1.96,0,699.92,0,1.96,1.96,4.91,0.98,1.96,0,0.98,0,18.65,0,12.76,0,0,0,36.32,0,0,0,0,0.98,0.98,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,2.12,5.31,0,0,642.53,1.06,0,0,4.25,0,0,0,0,0,52.04,1.06,6.37,0,0,0,18.05,0,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,19.67,3.28,1.09,805.43,0,1.09,0,8.74,0,0,2.19,1.09,1.09,300.53,1.09,9.84,1.09,0,3.28,49.18,0,0,1.09,0,2.19,8.74,0,1.09,1.09,0,1.09,2.19,6.56,0,0
108-118,0,0,0,3.06,2.3,0,627.32,1.53,0,0,9.96,0.77,0,1.53,0.77,0,541.54,0,16.85,0,0,3.83,49.02,0,1.53,0,0,0.77,3.83,0,0,0,0,0.77,1.53,2.3,0,1.53
120,0,0,1.96,7.84,3.92,0,640.85,1.96,3.92,0,5.88,1.96,0,3.92,0,0,268.49,0,9.8,0,0,0,56.83,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
