stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,5.26,0,0,5.26,0,0,0,0,36.8,2.63,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,0,3,0,0,0,0,0,0,1,19,0,0,0,1,0,0,1,3
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,7.39,0,0,1.64,0,0,0,0,2.46
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,4.83,0.81,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,2.3,0,0,1.15,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,2.94,0.98,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0,0,0.98,2.94,0,0,1.96,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,1.06,0,0,2.12,0,0,6.37,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0,0,5.46,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0.77,0,0,0,0.77,0,4.6,0,0,6.89,0,0,0,0,0
120,0,0,0,1.96,0,5.88,1.96,0,0,0,0,0,0,7.84,0,0,3.92,0,1.96,0,0,0
