stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,1,0,1,3,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,33.66,0,0,0,0,0,0,0,0,4.93,0,0,0,0
 36-46,0,0,0,0,0,0,10.47,0,0.81,4.83,0,0,0,0,0,0,0.81,0,0,0,87.82,0.81,0,0,0,0,0,0.81,0,8.06,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,32.71,0,0.57,4.59,0,0,0,0,0,0,1.15,0,0.57,0.57,165.83,0,0,0.57,0,0.57,0,0.57,0,7.46,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,231.64,0,0,10.8,0,0,0,0,0.98,0.98,5.89,0,0,0,309.18,0,0,0,0.98,0,0,0,0,11.78,0,0,0.98,0
 72-82,0,0,0,0,7.85,0,485.92,0.98,0.98,13.74,0,0,0,0,0.98,0,14.72,0,0,0,306.28,0,0.98,2.94,0,1.96,0,0,0,6.87,0.98,2.94,0,1.96
 84-94,0,0,2.12,0,2.12,1.06,400.39,1.06,1.06,8.5,0,0,1.06,1.06,1.06,0,11.68,0,0,1.06,175.24,2.12,1.06,7.43,0,0,0,0,0,3.19,1.06,0,0,0
 96-106,0,0,1.09,0,7.65,2.19,229.5,1.09,0,17.49,0,2.19,1.09,1.09,1.09,2.19,10.93,1.09,0,0,160.65,0,1.09,4.37,0,0,0,0,0,3.28,0,1.09,0,1.09
108-118,0,0,0,0,5.36,0,124.09,0.77,0,19.92,0.77,0,0.77,2.3,0,0,7.66,0,0,0.77,164.68,0,1.53,0,0.77,1.53,0,0,0,0.77,0.77,0.77,0.77,1.53
120,0,0,0,0,3.92,0,145.02,0,0,35.28,0,0,0,0,0,1.96,3.92,0,1.96,0,211.66,1.96,0,0,0,0,0,0,0,7.84,0,1.96,0,0
