stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,93,7,0,2,0,0,0,1,2,0,1,0,19,0,0,0,1,6,0,0,2,23,2,0,1,0,0,3,1,1,7,3,4,0,0,4,0,1
 24-34,0,0,0,76.34,0.82,0,8.21,0.82,0.82,0,1.64,0,0,2.46,0,20.52,0,0,0,6.57,10.67,0.82,0,5.75,35.3,0,3.28,0.82,0,0,12.31,0,0.82,0,3.28,22.16,0,0,12.31,0,8.21
 36-46,0,0,0,28.2,1.61,0,12.09,4.03,2.42,0.81,6.45,0,0.81,1.61,0,7.25,0,0,1.61,10.47,12.89,0,0,1.61,68.48,1.61,2.42,0.81,0,0,12.09,0,0.81,1.61,0,18.53,0,0,11.28,0,8.06
 48-58,0,0,0,21.23,0,0,19.51,12.05,5.16,0.57,9.75,1.72,0,0,0,6.89,0.57,0,0,16.64,18.36,4.02,0,2.3,67.14,1.15,2.87,0.57,0,0,6.89,0,0,2.3,0,13.77,0,0,6.89,0,9.75
 60-70,0,0,0,40.24,0,0,21.59,7.85,10.8,0.98,25.52,11.78,0,0,1.96,9.82,3.93,0,0,15.7,40.24,0.98,2.94,7.85,127.6,0,3.93,0.98,0,0,11.78,0,0,5.89,0,20.61,0,1.96,11.78,0,11.78
 72-82,0,0.98,0,34.36,1.96,0,44.17,7.85,9.82,3.93,42.21,47.12,0.98,2.94,3.93,34.36,1.96,2.94,1.96,9.82,113.87,6.87,7.85,3.93,147.25,0,8.83,4.91,0,1.96,25.52,0,0,0.98,0,17.67,0.98,4.91,16.69,6.87,7.85
 84-94,0,3.19,0,57.35,1.06,1.06,40.36,7.43,15.93,5.31,37.17,79.65,0,0,3.19,40.36,2.12,3.19,1.06,21.24,80.71,6.37,3.19,9.56,89.21,0,2.12,4.25,0,2.12,47.79,0,0,1.06,0,6.37,2.12,3.19,20.18,6.37,9.56
 96-106,0,3.28,0,69.94,1.09,0,36.06,7.65,10.93,3.28,18.58,80.87,0,1.09,8.74,51.36,4.37,2.19,9.84,20.76,76.5,4.37,7.65,7.65,104.91,4.37,6.56,7.65,0,1.09,78.68,0,0,0,0,5.46,1.09,1.09,29.51,6.56,9.84
108-118,0,1.53,1.53,110.3,1.53,0.77,42.13,5.36,16.85,3.06,24.51,71.23,0,3.06,4.6,56.68,9.96,2.3,19.92,17.62,91.92,3.06,6.13,15.32,110.3,2.3,1.53,4.6,0,2.3,57.45,0,0,3.83,0,3.06,2.3,3.06,12.26,3.83,15.32
120,0,0,0,109.75,7.84,0,31.36,5.88,23.52,5.88,37.24,64.67,1.96,0,3.92,39.2,5.88,5.88,15.68,5.88,96.03,3.92,1.96,3.92,131.31,0,7.84,7.84,0,1.96,90.15,0,1.96,3.92,0,9.8,3.92,3.92,23.52,5.88,15.68
