stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,13.14,2.63,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0
 24-34,0,0,0,0,0,0,0,0,4.1,0,1.64,3.28,0,0.82,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0.81,5.64,0,0.81,3.22,0.81,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,15.49,0,1.72,5.16,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0,0,0,48.09,0,1.96,1.96,2.94,0.98,0,0,0,0,0
 72-82,0,0,0,0,2.94,2.94,0,0,64.79,0,0.98,4.91,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,1.06,0,0,53.1,0,2.12,3.19,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,1.09,1.09,45.9,1.09,2.19,0,4.37,0,0,0,0,0,0
108-118,0,0,0,0.77,1.53,0,0,0,32.94,0,0.77,1.53,0.77,0.77,0,0,0,1.53,0
120,0,0,0,0,1.96,0,0,0,27.44,0,0,1.96,5.88,0,0,0,0,0,0
