stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,6,0,0,2,0,0,0,0,0,0,0,0,7,0,0,6,52,0,0,0,1,0,0,4,4,8,15,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,9.03,0,0.82,2.46,0,0,5.75,0,0.82,0,0.82,0.82,11.49,0.82,0,2.46,85.37,15.6,0,0.82,0,0,0,0,0,4.1,30.37,0,0,0,0,0
 36-46,0,0,0,0,0,12.09,0,0.81,4.83,0,0,1.61,0,0,0,0,0,4.03,0,1.61,1.61,62.84,6.45,0,0,0,0,0,0,0,0,14.5,0,0.81,2.42,0,0
 48-58,0,0,0,2.3,0,17.21,0,0,2.87,0,0,2.87,0,0,0,0,0,9.75,0.57,4.02,0,53.36,2.3,0,0,0,0,0,0,0,0,5.16,0,3.44,1.15,0.57,0
 60-70,0,0,0,0.98,0.98,24.54,0.98,0.98,5.89,0.98,0,0,0,0,0,0.98,0,37.3,0.98,31.41,3.93,82.45,0.98,0,0,0,1.96,0.98,0,0,0,4.91,0,34.35,0,25.52,0.98
 72-82,0,0,0,1.96,0,40.25,0,1.96,7.85,0,0.98,0,0,0,0,0,0,36.32,2.94,27.49,2.94,57.92,0,0,0,0,5.89,0,0,0,0,4.91,0.98,71.66,0,84.42,0
 84-94,0,2.12,0,0,1.06,29.74,0,1.06,5.31,1.06,0,0,1.06,0,0,0,0,30.8,0,25.49,0,32.92,1.06,1.06,1.06,0,1.06,0,0,0,0,2.12,0,84.96,3.19,104.08,0
 96-106,0,1.09,0,0,0,25.14,0,0,2.19,0,0,0,1.09,0,0,0,1.09,52.46,0,24.04,0,30.6,0,0,0,0,5.46,0,0,0,0,2.19,0,86.33,0,130.05,0
108-118,0,1.53,0,0.77,0.77,24.51,0.77,0,4.6,0.77,0,0,0,0,1.53,0,0,42.89,0,9.96,0.77,26.04,1.53,0,0,0,8.43,0,0,0,0,0,0,60.51,0.77,77.36,0
120,0,1.96,0,1.96,0,9.8,0,0,3.92,0,0,0,0,0,0,0,0,25.48,0,13.72,0,11.76,0,0,1.96,0,13.72,0,0,0,0,0,0,60.75,1.96,96.03,0
