stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,26.29,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.41,0,0,0,84.12,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,3.15,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,3.15,0,0,72.38,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,24,2,4,0,0,0,4,5,0,0,0,0,0,1,0,21,0,0,15,72,24,0,0,3,0,0,0,13,0,0,8,37,0,0,0,0,0
 24-34,0,0,0,0.82,4.1,0.82,10.67,0,0,2.46,4.1,0,0.82,0,0,0.82,0,0,0,24.63,0,0,22.98,334.91,4.1,2.46,0,0,0,0.82,0,0.82,0,0.82,4.1,46.79,0,0,2.46,0,1.64
 36-46,0,0,0,0,4.03,0,20.95,0,0,2.42,11.28,0,0,0,0,0.81,0,1.61,1.61,31.42,0,0,4.83,1375.28,0.81,1.61,1.61,0,0,0.81,0,0.81,0,0,0,133.74,0,0,3.22,0,0.81
 48-58,0.57,0,0,0,6.31,1.15,195.09,0.57,1.72,2.3,44.18,0,1.15,0.57,0,0,0.57,0,1.72,63.69,0,1.72,9.18,2545.97,0,2.87,2.87,0,0,1.15,0.57,0,0.57,0,0,274.85,0,0,2.87,0,2.3
 60-70,0,0,0,0,4.91,0,406.35,0,0.98,2.94,50.06,0,0,0.98,0,0,0.98,0,1.96,52.02,0,1.96,3.93,2427.3,0,0.98,3.93,0,0,0,0,0,0,1.96,0,231.64,0,0,1.96,0.98,0.98
 72-82,0,0,0,0,6.87,1.96,547.77,0.98,0,3.93,64.79,0.98,1.96,1.96,0,0,1.96,0,0.98,66.75,0,2.94,5.89,1532.37,0.98,7.85,2.94,0,0,0.98,0,0,0,0,0,78.53,0.98,1.96,0.98,0.98,3.93
 84-94,0,0,0,0,10.62,1.06,316.49,0,1.06,3.19,29.74,1.06,0,6.37,1.06,0,1.06,0,2.12,46.73,0,1.06,3.19,734.93,3.19,3.19,3.19,0,0,3.19,0,0,0,0,0,52.04,0,3.19,2.12,1.06,2.12
 96-106,0,0,0,0,13.11,1.09,228.4,0,0,2.19,49.18,0,1.09,4.37,0,1.09,0,1.09,0,24.04,1.09,0,3.28,465.55,1.09,2.19,8.74,0,0,2.19,0,0,0,0,0,9.84,0,2.19,1.09,0,2.19
108-118,0,0,0,0,10.72,3.83,160.09,1.53,0,0.77,22.21,0,0.77,6.13,0.77,0,0,0,0,12.26,0,0,1.53,552.26,2.3,1.53,3.83,0,0.77,2.3,0,0,0,0,0,6.89,0,0,0,0,0
120,0,0,1.96,0,5.88,7.84,117.59,0,3.92,0,17.64,0,0,5.88,0,0,3.92,0,0,23.52,0,3.92,1.96,503.66,1.96,0,0,0,0,1.96,0,0,0,0,0,9.8,0,0,3.92,1.96,0
