stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,882.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,606.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,21.03,5.26,0,0,52.57,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,291.79,10.51,0,0,152.47,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,18.88,0,6.29,40.91,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,478.34,18.88,0,0,166.79,0,0,50.35,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,3,72,24,33,0,0,16,4,0,2,0,4,0,0,0,0,45,0,0,39,496,7,3,12,7,0,27,8,3,32,197,0,0,10,0,0
 24-34,0,0,0.82,24.63,2.46,66.49,0.82,0,26.27,0,0,0.82,1.64,1.64,1.64,2.46,0,0.82,70.59,0,0,29.55,824.96,3.28,5.75,14.78,0,0.82,0,1.64,1.64,6.57,203.57,0,0,22.16,0,0
 36-46,0,0,0,8.06,3.22,106.35,0.81,0,35.45,0.81,0,3.22,0.81,0,0.81,0.81,0.81,0,82.98,0,2.42,28.2,576.86,4.03,2.42,7.25,0,0,0,1.61,0,0.81,203.83,0,0.81,9.67,0.81,0
 48-58,0,0,0,2.87,1.15,121.07,0,1.15,40.74,0.57,0,1.15,0.57,0.57,0,1.15,0,0,71.73,0,4.02,9.18,226.08,0.57,1.15,0.57,0,0,0,0,0,0,95.25,0,0,4.59,0.57,0
 60-70,0,0,0,0.98,1.96,81.47,0,2.94,24.54,0,0,0.98,1.96,0,0,0,0,0,31.41,0.98,1.96,0.98,89.32,0.98,0,0.98,0,0,0,0.98,0,0,27.48,0.98,0,2.94,0,0.98
 72-82,0,0,0,0,1.96,38.28,0.98,2.94,26.5,0,0,1.96,3.93,0,0,0,0,0,21.6,0,2.94,2.94,48.1,0,0.98,0.98,0,0,0,0,0,0,3.93,0,0,1.96,0,0
 84-94,0,0,0,0,2.12,20.18,0,1.06,15.93,0,0,1.06,5.31,0,0,0,0,0,15.93,0,3.19,4.25,32.92,1.06,0,2.12,0,0,0,0,0,0,3.19,0,1.06,1.06,2.12,0
 96-106,0,0,0,2.19,3.28,15.3,0,3.28,10.93,0,0,1.09,2.19,0,0,0,0,0,5.46,0,0,1.09,15.3,0,0,1.09,0,2.19,0,0,0,0,2.19,0,0,3.28,2.19,0
108-118,0,0,0,2.3,3.06,9.19,0,1.53,6.89,0,0,0,2.3,0,0,0,0,0,14.55,0.77,0.77,1.53,13.02,0,0,0.77,0,0,0,0,0.77,0,0.77,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,9.8,0,0,0,0,0,3.92,0,1.96,0,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
