stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,4,0,0,0,0,0,62,0,0,0,0,0
 24-34,2.46,0.82,2.46,0,0,5.75,0,0,0.82,0,0,0,0,0,0,0.82,0,0,2.46,0,0,0.82,531.09,0.82,16.42,2.46,0,0.82,0,0.82,270.88,0,0,0.82,0,0
 36-46,1.61,0,1.61,0,0,16.11,0,0,0.81,4.03,0,0.81,0,0,0,0.81,0,0,2.42,0,0,0,1153.72,0,10.47,2.42,0.81,0,0,0,404.45,0,0,0.81,0,0
 48-58,1.15,0,2.87,0,0,111.89,0.57,0,0.57,17.79,0,0,0.57,0.57,0.57,0,0,0,12.05,0,0,3.44,1574.52,0,9.18,1.72,0,1.15,0.57,0,356.91,0,0,0,0,1.72
 60-70,0,0,4.91,0.98,0,504.5,0.98,1.96,0,26.5,0,0,1.96,0,0.98,0,0.98,0,13.74,0,0.98,0.98,2290.87,0,9.82,2.94,0,3.93,0.98,0,383.78,0,0,0.98,0,1.96
 72-82,4.91,0,18.65,2.94,0,1133.82,0.98,0,2.94,53.99,1.96,0.98,0,0.98,0.98,0.98,0,0.98,38.28,0.98,0,3.93,2692.7,0,18.65,4.91,0,0.98,0,0,246.4,0,1.96,3.93,0,1.96
 84-94,1.06,0,16.99,2.12,0,613.86,0,1.06,0,63.72,4.25,0,3.19,1.06,3.19,0,0,0,26.55,0,3.19,6.37,1324.36,0,5.31,4.25,0,1.06,0,0,123.2,0,6.37,2.12,2.12,0
 96-106,1.09,0,13.11,0,0,561.72,0,0,1.09,48.09,3.28,1.09,3.28,0,1.09,0,0,0,19.67,0,0,3.28,1048.04,0,10.93,10.93,0,3.28,0,0,51.36,1.09,2.19,1.09,2.19,1.09
108-118,1.53,0,19.92,1.53,1.53,451.92,0.77,0.77,1.53,36,1.53,0,2.3,0.77,0,0.77,0.77,0,22.98,0,1.53,0.77,1178.82,0,9.96,9.19,0,1.53,0,0,52.09,3.06,0,3.06,2.3,0
120,1.96,0,27.44,3.92,5.88,450.75,1.96,1.96,0,58.79,3.92,0,1.96,0,1.96,1.96,0,0,23.52,0,1.96,5.88,1697.17,1.96,11.76,0,0,3.92,1.96,0,80.35,0,0,5.88,0,1.96
