stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,22,0,0,0,0,0,0,1,10,0,0,1,2,1,2,9,0,54,0,0,0,0
 24-34,0,0,0,3.28,0,0,27.91,0,0,0,0.82,1.64,0,0,14.78,0,3.28,0.82,0,0.82,0,4.93,0.82,47.61,0,0,0.82,0
 36-46,0,0,0,0,0,2.42,17.72,0,0,0,0,0,0,0,24.17,0.81,9.67,0,0,0,0,3.22,0,33.03,0,0,0,0
 48-58,0,0,0,1.72,0,8.03,14.92,0,0,0,0,2.87,0,0.57,9.75,0,5.16,0.57,0,0,0,0.57,0,28.69,0,0,0,0
 60-70,0,0,0,1.96,0,7.85,17.67,0,0,0,2.94,2.94,0,0,14.72,0,5.89,0,0,0,0,0.98,0,15.7,0,0,0.98,0
 72-82,0,0.98,0,0.98,0,8.83,30.43,0.98,0,0,0.98,1.96,0.98,0.98,25.52,0,18.65,3.93,0,0,0,0.98,0,9.82,0,0,0,0.98
 84-94,0,0,0,0,0,8.5,15.93,0,0,0,1.06,5.31,0,0,7.43,0,12.74,12.74,0,0,0,4.25,0,7.43,1.06,0,0,0
 96-106,0,1.09,0,3.28,0,9.84,12.02,1.09,1.09,0,4.37,1.09,0,0,13.11,0,14.21,16.39,0,0,0,3.28,0,7.65,0,0,0,0
108-118,0,0.77,0,0.77,0,3.83,15.32,0,0.77,0,1.53,0,0.77,0,10.72,0,11.49,9.96,0,0,0,2.3,0,3.06,0,0,0.77,0
120,0,1.96,1.96,0,0,0,9.8,0,0,1.96,5.88,1.96,0,0,17.64,0,9.8,9.8,0,0,0,5.88,0,1.96,0,1.96,0,0
