stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,7,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,3.28,64.03,0,68.13,0,0,1.64,0,20.52,0,0,0.82,0
 36-46,0,0,0,0,0,0,33.03,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,168.38,0,97.49,0,0,1.61,0,55.59,0,0,0,0
 48-58,0,0,0,0,0,0,186.49,0,0.57,0,3.44,0,0,0,0,0,0,0,0,0.57,3.44,0,0,0.57,328.79,0,71.15,0,0,1.72,0,60.82,0,0,0,0.57
 60-70,0,0,0.98,0.98,0,0,842.15,0,0.98,0.98,11.78,0.98,0,0,0,0.98,0,0,0,0,6.87,0,0,3.93,734.18,0,73.61,0,0,2.94,0,94.23,0,0,0.98,1.96
 72-82,0,0,0.98,9.82,0.98,0,1353.71,1.96,1.96,0.98,26.5,0.98,0,0,0,0,0,0,0.98,0.98,25.52,0,0,0.98,1108.3,0,150.19,0.98,0,0.98,0,90.31,1.96,0.98,6.87,2.94
 84-94,0,0,0,16.99,2.12,0,985.57,1.06,0,1.06,35.05,1.06,0,0,0,0,3.19,0,0,0,14.87,1.06,4.25,1.06,554.38,1.06,169.93,1.06,0,4.25,0,41.42,0,1.06,0,0
 96-106,0,0,1.09,10.93,6.56,0,955.15,1.09,1.09,3.28,30.6,2.19,0,1.09,2.19,2.19,0,0,1.09,1.09,17.49,1.09,1.09,2.19,520.2,0,261.19,2.19,0,4.37,0,32.79,4.37,1.09,4.37,1.09
108-118,0,0,0.77,4.6,1.53,0.77,724.6,0.77,1.53,0.77,27.57,1.53,0,0,2.3,0,0.77,0,2.3,0.77,18.38,0.77,0.77,0.77,552.26,0.77,164.68,1.53,0,3.83,0,19.92,2.3,0.77,2.3,3.06
120,0,0,0,21.56,3.92,0,683.97,1.96,1.96,0,27.44,0,0,0,3.92,1.96,1.96,1.96,0,0,13.72,1.96,1.96,3.92,683.97,0,127.39,0,0,5.88,1.96,37.24,3.92,1.96,0,0
