stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,6,0,0,4
 24-34,0,0,0,0,0,0,0,0,0,33.66,0.82,0.82,5.75
 36-46,0,0,0,4.83,0,0,0,0,0,87.01,0.81,0,15.31
 48-58,0,0,0.57,10.9,0.57,0,0,1.72,0,104.43,0.57,0,14.92
 60-70,0,0,0,28.46,0,0,0,0,0,161.95,0.98,0,12.76
 72-82,0,0.98,0,30.43,0.98,0,0,0.98,0,144.3,0,0,8.83
 84-94,0,0,0,25.49,3.19,1.06,0,1.06,0,83.9,0,0,11.68
 96-106,0,0,0,15.3,1.09,0,1.09,1.09,0,50.27,0,0,3.28
108-118,0,1.53,0,10.72,0.77,0,0,0,0.77,77.36,1.53,0,0
120,1.96,0,0,7.84,3.92,0,0,1.96,0,39.2,0,0,1.96
